Year,Urban Systems (Start Page),Rural Systems (Start Page),Shared Ride (Start Page),Pages Per Agency,Format Changed?,Has Distributional Factors,Consolidated Agencies,Name,Service Area Statistics,"Act 44 Fixed Route Distribution Factors",Act 44 Operating Assistance,Total Fleet Size,Fare Information,Employees,Operating Expense,Operating Funds
2006-07,16,52,98,2,FALSE,FALSE,,None,Service Area Statistics,"1513 Urban Fixed Route Distribution Factors",,Total Fleet Size,Fare Information,Employees,TOTAL OPERATING EXPENSE,TOTAL OPERATING FUNDS
2007-08,22,72,102,2,TRUE,FALSE,,None,Service Area Statistics,"Act 44 Fixed Route Distribution Factors",Act 44 Operating Assistance,Total Fleet Size,Fare Information,Employees,OPERATING EXPENSE,OPERATING FUNDS
2008-09,23,73,103,2,FALSE,FALSE,,None,Service Area Statistics,"Act 44 Fixed Route Distribution Factors",Act 44 Operating Assistance,Total Fleet Size,Fare Information,Employees,OPERATING EXPENSE,OPERATING FUNDS
2009-10,26,120,178,4,FALSE,FALSE,,None,Service Area Statistics,"Act 44 Fixed Route Distribution Factors",Act 44 Operating Assistance,Total Fleet Size,Fare Information,Employees,OPERATING EXPENSE,OPERATING FUNDS
2010-11,28,122,180,4,TRUE,FALSE,,None,Service Area Statistics,"Act 44 Fixed Route Distribution Factors",Act 44 Operating Assistance,Total Fleet Size,Fare Information,Employees,Operating Expense,Operating Funds
2011-12,60,154,204,4,FALSE,FALSE,,None,Service Area Statistics,"Act 44 Fixed Route Distribution Factors",Act 44 Operating Assistance,Total Fleet Size,Fare Information,Employees,Operating Expense,Operating Funds
2012-13,38,132,190,4,FALSE,FALSE,,None,Service Area Statistics,"Act 44 Fixed Route Distribution Factors",Act 44 Operating Assistance,Current Fleet Size,Current Fare Information,Current Employees,Operating Expense,Operating Funds
2013-14,62,144,194,,FALSE,TRUE,,None,Service Area Statistics,"Act 44 Fixed Route Distribution Factors",Act 44 Operating Assistance,Current Fleet Size,Current Fare Information,Current Employees,Operating Expense,Operating Funds
2014-15,,,,,FALSE,TRUE,,None,,,,,,,,
2015-16,74,154,204,,FALSE,TRUE,,None,,,,,,,,
2016-17,64,148,190,,FALSE,TRUE,"BARTA, RRTA -> SCTA
Washington City, County -> WCTA
CATO, VCTO -> CATA",None,,,,,,,,
2017-18,46,,,,FALSE,TRUE,,None,,,,,,,,
2018-19,36,,,,FALSE,TRUE,,None,,,,,,,,
2019-20,44,,,,FALSE,TRUE,,None,,,,,,,,
2020-21,46,,,,FALSE,TRUE,,None,,,,,,,,
2021-22,26,,,,TRUE,TRUE,,None,,,,,,,,
2022-23,27,,,,FALSE,TRUE,,None,,,,,,,,
2023-24,38,,,,FALSE,TRUE,,None,,,,,,,,
