,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),831,,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),775,775,775,775,775,775,775,775,775,775,775,,,,,,,
AMTRAN (Altoona Metro Transit),25,25,25,25,25,25,25,25,25,25,25,,,,,,,
BCTA (Beaver County Transit Authority*),440,440,440,440,440,440,440,440,440,440,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),864,864,,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),688,,,,,,,,,,694,,,,,,,
CAT (Capital Area Transit),137,137,137,137,137,137,"1,070","1,070","1,070","1,070","1,070",,,,,,,
Capitol Bus Company,45,45,45,,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),133,133,133,133,133,135,135,89,89,89,89,,,,,,,
COLTS (County of Lackawanna Transit System),140,140,140,140,140,140,140,459,459,459,459,,,,,,,
COLT (County of Lebanon Transit Authority),362,362,362,,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),77,77,77,77,77,77,77,77,77,802,802,,,,,,,
FACT (Fayette Area Coordinated Transportation),790,790,790,790,790,812,812,812,812,790,790,,,,,,,
HPT (Hazleton Public Transit),12,12,12,12,12,144,144,144,144,144,144,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"1,615","1,615","1,615",730,730,,,,,324,324,,,,,,,
LCTA (Luzerne County Transportation Authority),56,56,56,56,56,56,56,56,56,56,56,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),79,79,79,79,79,79,45,45,45,45,45,,,,,,,
Pottstown Urban Transit,34,,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),952,952,952,952,952,952,952,952,952,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),670,672,672,672,672,,,,,,,,,,,,,
"Washington, City of",33,33,33,33,33,33,33,33,33,,,,,,,,,
WCTA (Westmoreland County Transit Authority),664,,,,,,,,,,668,,,,,,,
Williamsport RVT (River Valley Transit),89,89,89,89,89,89,89,89,89,89,89,,,,,,,
YCTA (York County Transportation Authority),911,,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),"5,083","5,083","5,091","5,091","5,091","5,092","5,092","5,092","5,092","5,092","5,092",,,,,,,
BTA (Butler Transit Authority),15,15,15,15,15,25,25,25,25,25,25,,,,,,,
Carbon County Community Transit,381,381,381,381,381,64,64,64,,,,,,,,,,
CATA (Crawford Area Transportation Authority),10.5,10.5,10.5,10.5,10.5,12,12,12,12,12,112,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)",57.08,,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),"2,734","2,734","2,734","2,734","2,734",726,726,726,726,726,726,,,,,,,
Indigo (Indiana County Transit Authority),830,830,830,,,,,,,,,,,,,,,
Mid-County Transit,19.7,19.7,19.7,19.7,20,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),611,611,611,611,611,417,417,417,417,417,417,,,,,,,
Monroe Township,33,,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of",56,56,56,56,56,50,50,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),177,177,177,177,177,178,178,,,,,,,,,,,
STS (Schuylkill Transportation System),784,778,778,778,778,277,277,277,277,277,277,,,,,,,
VCTO (Venango County Transportation Office),100,100,100,100,100,,100,100,100,100,,,,,,,,
Warren County Transit Authority,"1,615",883,883,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,688,688,688,688,60,60,60,693,694,,,,,,,,
"Pottstown, Borough of",,34,34,,,,,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,664,664,664,664,668,668,668,,668,,,,,,,,
YCTA (York County Transportation Authority*),,911,911,911,911,,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,57.08,57.08,57.08,,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,864,864,864,864,864,864,864,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,362,362,362,362,362,362,362,362,,,,,,,
PART (Pottstown Area Rapid Transit),,,,34,34,34,34,,,,34,,,,,,,
IndiGO (Indiana County Transit Authority),,,,830,830,504,504,504,504,504,504,,,,,,,
"Warren County, Transit Authority of",,,,883,883,,279,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,57,,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,106,106,106,106,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,670,670,670,670,672,672,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,911,911,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,56,56,56,56,56,56,,,,,,,
Mid County Transit Authority,,,,,,24,24,24,24,24,24,,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,"1,433",,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,50,,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,279,,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,33,,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,668,,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,"1,433",,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,64,75,75,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,50,50,50,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,279,279,279,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,"1,433","1,433",,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,"1,850","1,850",,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,33,33,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,440,,,,,,,
