,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"306,225,840",,,,,,,,,,,,,,,,,
PITTSBURGH REGIONAL TRANSIT (PRT),"69,081,443","66,582,150","67,574,004","65,077,883","62,725,424","64,663,052","62,288,879","62,507,941","64,128,410","62,753,783","62,176,355","62,414,729","62,990,158","50,961,821","21,913,736",,"37,169,490","37,128,174"
ALTOONA METRO TRANSIT (AMTRAN),"739,751","609,189","676,391","699,407","729,177","696,008","687,793","642,524","585,457","599,957","570,176","557,190","567,624","466,503","320,151","435,697","450,134","485,004"
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),"703,197","785,076","840,868","871,706","931,566","986,753","948,395","895,207","925,927","919,800","871,404","818,633","780,983","592,612","339,635","335,317","403,048","439,273"
BARTA (Berks Area Regional Transportation Authority),"2,807,210","2,916,824","2,978,258","2,973,042","3,131,688","3,216,842","3,212,652","3,259,487","3,093,296",,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),"1,366,802","1,329,650","1,292,292","1,282,505","1,275,473","1,345,911","1,290,035","1,230,087","1,197,414","1,192,813","1,138,570","1,094,703","1,167,144","1,039,684","727,418","684,844","785,030","824,777"
Capital Area Transit (CAT),"2,404,109","2,525,078","2,656,259","2,611,177","2,709,406","2,775,805","2,705,281","2,696,660","2,592,850","2,380,063","2,162,969","2,077,510","2,025,283","1,757,612","981,539",,,
Capitol Bus Company,"6,661","7,834","7,001",,,,,,,,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),"6,211,921","6,534,609","7,017,605","7,209,959","7,201,534","7,052,727","7,126,185","7,399,865","7,379,790","7,071,387","6,932,214","6,522,077","6,428,507","5,068,448","722,732","3,650,487","4,761,696","5,004,336"
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),"1,892,539","2,030,106","2,043,765","1,736,470","1,691,720","1,245,924","1,162,260","1,157,424","1,132,246","1,144,835","1,022,801","1,073,314","1,028,256","818,000","427,003","576,740","696,220","779,154"
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),"253,882","308,654","311,293","295,621","313,464","304,792","292,478","310,501","337,124","335,783","320,245","310,915","316,024","250,592","179,196","190,179","208,271","219,685"
