,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALTOONA METRO TRANSIT (AMTRAN),"40,921","38,098","40,741","42,395","43,955","46,580","45,103","44,262","44,013","44,242","43,583","39,006","47,343","47,742","47,431","47,507","43,212","51,008"
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,"80,356","93,148","93,385","94,417","98,614","102,475","108,039","108,539","107,601","107,998","108,926","118,657","117,267","107,852","101,792","106,546","107,840","109,673"
BARTA (Berks Area Regional Transportation Authority),"145,525","143,964","145,047","141,620","143,219","139,122","143,486","134,227","133,485",,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),"61,826","60,684","60,032","64,390","60,117","57,385","56,756","56,546","55,454","55,515","54,534","52,481","53,767","48,627","47,057","46,686","46,673","46,556"
BUTLER TRANSIT AUTHORITY (BTA),"11,886","17,268","17,902","17,852","16,906","18,194","18,021","18,405","14,611","15,286","15,692","16,809","15,650","15,223","15,547","18,573","19,883","20,121"
Capital Area Transit (CAT),"150,385","145,173","143,306","144,455","146,906","143,331","138,756","135,745","136,452","136,686","143,323","134,030","131,891","134,916","162,293",,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),"111,720","112,904","114,798","124,904","124,958","130,207","139,683","155,603","157,001","169,406","159,986","161,555","161,985","136,452","118,236","122,671","171,916","162,362"
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),"16,224","14,272","16,015","18,001","16,082","17,409","17,424","17,564","17,493","18,566","26,960","27,403","28,941","28,969","26,900","28,190","26,497","31,914"
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),"28,409","32,006","34,254","32,770","34,847","32,569","30,193","31,199","31,396","31,564","31,019","30,511","30,870","28,992","27,436","29,681","27,103","27,291"
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),"86,298","90,046","95,008","93,355","90,335","94,441","90,122","89,945","92,121","91,621","90,042","100,575","96,369","88,090","83,665","95,953","97,595","98,418"
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),"92,726","87,676","88,347","86,158","89,272","89,559","90,573","81,621","82,868","83,766","83,039","82,804","83,000","82,398","81,654","81,737","81,558","83,802"
Capitol Bus Company,"1,360","1,388","1,390",,,,,,,,,,,,,,,
Carbon County Community Transit (CCCT),"1,680","1,680","1,680","2,980","3,370","3,089","2,786","3,201","3,029","2,725","2,805","8,464","3,007","2,352","3,126",,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)","10,009","9,828","9,681","9,398","11,971","10,372","10,356","10,846","9,796","9,894","12,085",,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),"20,022","19,894","35,712","32,951","33,005","26,642","22,884","20,135","20,308","20,789","21,132","21,422","20,916","21,755","22,629","22,730","23,392","24,050"
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),"156,540","188,271","190,938","172,171","170,556","179,017","184,094","184,996","193,363","180,525","186,182","183,104","179,630","155,483","104,151","133,275","148,889","146,612"
