,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"23,896,913",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"5,784,826","5,993,016","6,174,525","5,842,330","5,351,979","5,042,824","4,878,315","4,799,145",,,,,,,,,,
AMTRAN (Altoona Metro Transit),"106,337","93,369","89,456","88,008","81,945","71,154","71,975","67,843",,,,,,,,,,
BCTA (Beaver County Transit Authority*),"61,172","66,691","71,178","73,684","75,608","81,517","77,165",,,,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),"465,538","489,463",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),"369,412",,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),"183,543","197,965","210,215","209,919","209,061","210,581","211,007",,,,,,,,,,,
Capitol Bus Company,500,496,209,,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),"35,329","37,601","35,662","41,205","43,883","41,180","41,399",,,,,,,,,,,
COLTS (County of Lackawanna Transit System),"1,086,923","1,233,223","1,124,927","974,010","741,636","211,630","207,555",,,,,,,,,,,
COLT (County of Lebanon Transit Authority),"35,453","44,746","48,518",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),"157,557","152,757","156,317","150,790","150,757","174,736","184,070",,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),"31,174","34,313","33,746","32,284","28,368","25,189","23,411",,,,,,,,,,,
HPT (Hazleton Public Transit),"97,718","119,933","117,297","97,483","81,139","77,986","67,913",,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"717,802","802,933","849,000","898,029","703,624",,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),"608,298","803,352","777,891","750,259","789,091","209,858","220,728",,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),"79,104","72,422","69,200","62,684","49,031","46,028","41,742",,,,,,,,,,,
Pottstown Urban Transit,"40,843",,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),"213,523","239,262","247,384","238,557","233,126","243,389","229,435",,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"25,217","27,220","29,104","22,769","18,525",,,,,,,,,,,,,
"Washington, City of","16,867","17,463","17,010","14,098","13,947","12,636","9,114",,,,,,,,,,,
WCTA (Westmoreland County Transit Authority),"81,443",,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),"192,314","211,753","214,278","210,989","210,025","222,741","228,885",,,,,,,,,,,
YCTA (York County Transportation Authority),"157,982",,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),"25,552","29,314","25,478","23,981","22,353","26,476","31,639",,,,,,,,,,,
BTA (Butler Transit Authority),"59,638","60,739","56,013","49,419","49,098","51,140","45,605",,,,,,,,,,,
Carbon County Community Transit,"8,965","7,495","6,738","6,783","6,196","6,212","4,725",,,,,,,,,,,
CATA (Crawford Area Transportation Authority),"40,286","41,544","36,075","39,691","39,553","40,274","36,708",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)","25,369",,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),"15,440","15,690","22,155","17,699","17,311","12,326","11,437",,,,,,,,,,,
Indigo (Indiana County Transit Authority),"22,055","23,821","24,101",,,,,,,,,,,,,,,
Mid-County Transit,"31,522","31,496","30,145","24,402","23,382",,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),"30,348","32,235","29,039","30,485","27,850","29,385","30,105",,,,,,,,,,,
