,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"80,830,396",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"33,803,103","30,819,458","31,399,521","30,814,241","28,628,567","26,157,415","25,405,897","25,542,475",,,,,,,,,,
AMTRAN (Altoona Metro Transit),"535,113","481,760","512,997","536,238","565,004","596,211","579,083","573,866",,,,,,,,,,
BCTA (Beaver County Transit Authority*),"1,107,823","1,078,195","1,072,114","1,042,170","981,218","948,768","941,820",,,,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),"1,756,552","1,825,763",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),"1,202,999",,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),"1,930,743","1,913,159","1,889,149","1,951,040","2,019,639","1,973,189","1,878,610",,,,,,,,,,,
Capitol Bus Company,"32,338","32,188","25,441",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),"1,353,573","1,363,130","1,492,481","1,722,580","1,686,192","1,670,085","1,632,005",,,,,,,,,,,
COLTS (County of Lackawanna Transit System),"1,050,121","1,097,749","1,158,288","1,172,356","1,193,793","1,180,300","1,164,826",,,,,,,,,,,
COLT (County of Lebanon Transit Authority),"418,295","454,538","523,225",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),"1,942,361","2,253,973","2,149,182","2,037,199","2,171,079","2,235,246","2,191,750",,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),"597,878","596,861","582,398","544,895","588,789","545,691","546,433",,,,,,,,,,,
HPT (Hazleton Public Transit),"359,846","374,378","363,927","362,192","360,914","394,538","421,245",,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"3,687,840","3,784,121","3,869,929","3,775,319","3,885,697",,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),"1,079,619","1,087,082","1,100,531","1,101,714","1,136,404","1,127,895","1,134,185",,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),"649,186","710,158","758,856","889,897","818,659","809,071","816,746",,,,,,,,,,,
Pottstown Urban Transit,"249,621",,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),"1,575,668","1,737,567","1,772,748","1,681,979","1,823,058","1,767,615","1,765,741",,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"136,642","146,120","142,340","151,387","146,606",,,,,,,,,,,,,
"Washington, City of","147,216","152,485","169,536","192,643","195,519","193,247","279,447",,,,,,,,,,,
WCTA (Westmoreland County Transit Authority),"846,495",,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),"878,956","834,887","843,496","846,409","837,978","836,601","830,877",,,,,,,,,,,
YCTA (York County Transportation Authority),"1,634,625",,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),"1,148,117","1,175,235","1,191,183","1,234,673","1,305,898","1,356,560","1,401,295",,,,,,,,,,,
BTA (Butler Transit Authority),"137,327","214,711","229,114","231,966","199,824","212,270","219,029",,,,,,,,,,,
Carbon County Community Transit,"33,150","33,150","33,150","56,950","45,093","41,128","39,906",,,,,,,,,,,
CATA (Crawford Area Transportation Authority),"200,670","180,320","188,257","232,346","214,304","220,921","238,645",,,,,,,,,,,
