,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"6,179,804",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"2,468,671","2,165,838","2,196,909","2,209,897","2,105,712","1,988,410","1,877,501","1,910,968","1,948,840","1,954,108","1,982,527",,,,,,,
AMTRAN (Altoona Metro Transit),"40,921","38,098","40,741","42,395","43,955","46,580","45,103","44,262","44,013","44,242","43,583",,,,,,,
BCTA (Beaver County Transit Authority*),"61,826","60,684","60,032","64,390","60,117","57,385","56,756","56,546","55,454","55,515",,,,,,,,
BARTA (Berks Area Reading Transportation Authority),"145,525","143,964",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),"92,726",,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),"150,385","145,173","143,306","144,455","146,906","143,331","138,756","135,745","136,452","136,686",,,,,,,,
Capitol Bus Company,"1,360","1,388","1,390",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),"111,720","112,904","114,798","124,904","124,958","130,207","139,683","155,603","157,001","169,406",,,,,,,,
COLTS (County of Lackawanna Transit System),"86,298","90,046","95,008","93,355","90,335","94,441","90,122","89,945","92,121","91,621",,,,,,,,
COLT (County of Lebanon Transit Authority),"28,409","32,006","34,254",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),"156,540","188,271","190,938","172,171","170,556","179,017","184,094","184,996","193,363","180,525",,,,,,,,
FACT (Fayette Area Coordinated Transportation),"30,989","28,540","30,520","30,703","31,622","28,008","27,618","28,967","30,588","28,892",,,,,,,,
HPT (Hazleton Public Transit),"30,022","29,441","28,740","28,290","28,282","29,306","30,260","32,020","34,583","32,951",,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"266,730","248,053","245,289","243,393","253,819",,,,,"308,433",,,,,,,,
LCTA (Luzerne County Transportation Authority),"69,224","75,828","77,516","78,965","80,346","77,413","79,434","78,377","79,381","81,557",,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),"45,666","49,947","47,783","51,684","49,533","49,313","48,833","46,634","41,652","43,525",,,,,,,,
Pottstown Urban Transit,"20,376",,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),"117,102","118,010","126,313","124,182","117,655","125,611","129,662","120,364","126,608",,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"11,794","13,996","13,183","12,607","11,957",,,,,,,,,,,,,
"Washington, City of","11,197","11,455","12,760","13,543","12,929","13,613","18,201","18,392","16,446",,,,,,,,,
WCTA (Westmoreland County Transit Authority),"42,468",,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),"54,474","54,618","55,606","55,986","54,075","55,467","54,678","55,540","57,353","57,237",,,,,,,,
YCTA (York County Transportation Authority),"130,467",,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),"80,356","93,148","93,385","94,417","98,614","102,475","108,039","108,539","107,601","107,998",,,,,,,,
BTA (Butler Transit Authority),"11,886","17,268","17,902","17,852","16,906","18,194","18,021","18,405","14,611","15,286",,,,,,,,
Carbon County Community Transit,"1,680","1,680","1,680","2,980","3,370","3,089","2,786","3,201",,,,,,,,,,
CATA (Crawford Area Transportation Authority),"16,224","14,272","16,015","18,001","16,082","17,409","17,424","17,564","17,493","18,566",,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)","10,009",,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),"20,022","19,894","35,712","32,951","33,005","26,642","22,884","20,135","20,308","20,789",,,,,,,,
Indigo (Indiana County Transit Authority),"20,563","22,300","30,134",,,,,,,,,,,,,,,
Mid-County Transit,"11,272","10,867","10,753","9,704","10,532",,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),"36,985","36,394","37,167","31,699","28,540","28,817","31,585","31,263","33,713","30,505",,,,,,,,
Monroe Township,"4,317",,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of","5,064","5,044","5,090","4,850","4,850","4,436","4,790",,,,,,,,,,,
NCATA (New Castle Area Transit Authority),"48,033","50,726","54,117","56,972","57,913","58,334","57,152",,,,,,,,,,,
STS (Schuylkill Transportation System),"29,363","29,398","27,326","25,202","23,120","21,321","19,143","18,354","17,610","19,925",,,,,,,,
VCTO (Venango County Transportation Office),"7,765","7,812","7,816","7,786","7,500",,"7,803","9,025","9,236","9,242",,,,,,,,
Warren County Transit Authority,"10,402","11,178","11,427",,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,"87,676","88,347","86,158","89,272","89,559","90,573","81,621","82,868","83,766",,,,,,,,
"Pottstown, Borough of",,"20,291","20,429",,,,,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,"42,961","46,111","46,380","48,474","50,996","50,859","55,628",,"56,372",,,,,,,,
YCTA (York County Transportation Authority*),,"120,940","116,931","124,839","119,744",,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,"9,828","9,681","9,398",,,,,,,,,,,,,,
