,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALTOONA METRO TRANSIT (AMTRAN),$1.30,$1.30,$1.30,$1.40,$1.50,$1.50,$1.50,$1.50,$1.50,$1.55,$1.60,$1.65,$1.70,$1.75,$1.75,$1.75,$1.75,$1.75
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,$1.00,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25
BARTA (Berks Area Regional Transportation Authority),$1.60,$1.60,$1.60,$1.60,$1.70,$1.70,$1.70,$1.70,$1.70,,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),$1.75,$1.75,$1.75,$2.00,$2.00,$2.25,$2.25,$2.25,$2.25,$2.25,$2.50,$2.50,$2.50,$2.50,$2.50,$2.50,$2.50,$2.50
BUTLER TRANSIT AUTHORITY (BTA),$1.00,$1.00,$1.00,$1.00,$1.00,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25
Capital Area Transit (CAT),$1.50,$1.60,$1.65,$1.65,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.80,$1.80,$1.80,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),$1.25,$1.25,$1.25,$1.50,$1.50,$1.50,$1.50,$1.75,$1.75,$1.75,$1.75,$2.00,$2.00,$2.20,$2.20,$2.20,$2.20,$2.20
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.50,$1.50,$1.50
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),$1.00,$1.40,$1.40,$1.40,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),$1.25,$1.25,$1.25,$1.25,$1.25,$1.50,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75,$1.75
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.55,$1.60,$1.65,$1.65,$1.70,$1.70,$1.75,$1.75,$1.75,$1.75
Capitol Bus Company,$1.85,$1.85,$1.85,,,,,,,,,,,,,,,
Carbon County Community Transit (CCCT),$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",$1.00,$1.00,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),$1.00,$1.00,$1.00,_,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.25,$1.35,$1.45,$1.45,$1.55,$1.65,$1.65,$1.65,$1.65,$1.65,$1.65
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),$1.25,$1.40,$1.40,$1.40,$1.40,$1.40,$2.00,$2.00,$2.00,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50
HAZLETON PUBLIC TRANSIT (HPT),$1.00,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.20,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50
