,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Altoona Metro Transit (AMTRAN),$1.19,$1.19,$1.19,$1.23,$1.28,$1.37,$1.30,$1.32,_,,,,,,,,,
Area Transportation Authority of North Central PA (ATA),$2.78,$2.44,$1.06,$0.80,$1.28,$2.01,$1.11,$1.45,_,,,,,,,,,
Berks Area Regional Transportation Authority (BARTA),$1.08,$1.08,$1.08,$1.08,$1.01,$1.08,$1.11,$1.12,_,,,,,,,,,
Beaver County Transit Authority (BCTA),$1.87,$1.87,$1.87,$1.75,$1.85,$1.81,$1.89,$1.98,_,,,,,,,,,
Butler Transit Authority (BTA),$1.11,$1.11,$1.11,$0.91,$0.91,$0.79,$1.12,$1.05,_,,,,,,,,,
Capital Area Transit (CAT),$1.25,$1.27,$1.27,$1.27,$1.27,$1.48,$1.52,$1.53,_,,,,,,,,,
Centre Area Transportation Authority (CATA),$0.64,$0.64,$0.64,$0.70,$0.79,$0.83,$0.85,$0.88,_,,,,,,,,,
Crawford Area Transportation Authority (CATA),$0.66,$0.66,$0.66,$0.92,$0.92,$0.86,$0.82,$0.83,_,,,,,,,,,
County of Lebanon Transit Authority (COLT/LT),$1.11,$1.11,$1.11,$1.41,$1.75,$1.68,$1.70,$1.79,_,,,,,,,,,
County of Lackawanna Transit System (COLTS),$1.22,$1.22,$1.22,$1.28,$1.28,$1.14,$1.19,$1.43,_,,,,,,,,,
Cambria County Transit Authority (CAMTRAN),$1.08,$1.08,$1.08,$1.08,$1.07,$0.97,$0.98,$0.95,_,,,,,,,,,
Capitol Bus Company,$4.27,$4.27,$4.27,,,,,,,,,,,,,,,
Carbon County Community Transit (CCCT),$1.37,$1.37,$1.37,$2.41,$2.41,$1.39,$1.02,$1.07,_,,,,,,,,,
"DuBois, Falls Creek, Sandy Township Joint Transp. Authority (DuFAST)",$0.68,$0.68,$0.68,$0.85,$0.83,$0.63,$0.61,$0.79,_,,,,,,,,,
Endless Mountains Regional Transportation Authority (BeST Transit),$1.16,$1.16,$1.16,$0.72,$0.72,$0.88,$0.59,$0.71,_,,,,,,,,,
Erie Metropolitan Transit Authority (EMTA),$1.16,$1.16,$1.15,$1.06,$1.10,$0.91,$0.95,$1.15,_,,,,,,,,,
Fayette Area Coordinated Transportation (FACT),$1.18,$1.24,$1.24,$1.68,$1.90,$1.68,$1.83,$1.90,_,,,,,,,,,
Hazleton Public Transit (HPT),$1.34,$1.34,$1.34,$1.27,$1.25,$1.13,$1.19,$1.17,_,,,,,,,,,
Indiana County Transit Authority (INDIGO),$1.00,$1.00,$1.00,$1.29,$1.29,$1.37,$1.44,$1.37,_,,,,,,,,,
Lehigh and Northampton Transportation Authority (LANTA),$0.75,$0.75,$0.75,$0.84,$0.84,$1.15,$1.11,$1.20,_,,,,,,,,,
Luzerne County Transportation Authority (LCTA),$1.18,$1.18,$1.18,$1.26,$1.50,$1.29,$1.26,$1.32,_,,,,,,,,,
Monroe County Transportation Authority (MCTA),$0.66,$0.66,$0.66,$1.06,$1.06,$1.02,$1.92,$1.54,_,,,,,,,,,
Mid Mon Valley Transit Authority (MMVTA),$2.72,$2.72,$2.72,$1.79,$1.79,$2.19,$2.12,$2.57,_,,,,,,,,,
Mid County Transit Authority/Town and Country Transit (TACT),$1.19,$1.19,$1.19,$1.22,$1.22,$1.30,$1.46,$1.42,_,,,,,,,,,
Monroe Township,$0.70,,,,,,,,,,,,,,,,,
Borough of Mount Carmel (LATS),$1.20,$1.20,$1.20,$1.27,$1.27,$0.97,$1.02,$0.81,_,,,,,,,,,
New Castle Area Transit Authority (NCATA),$1.25,$1.25,$1.25,$1.52,$1.52,$1.79,$2.15,$1.97,_,,,,,,,,,
Pittsburgh Regional Transit (PRT),$1.25,$1.43,$1.57,$1.46,$1.46,$1.58,$1.68,$1.67,_,,,,,,,,,
Pottstown Area Rapid Transit (PART),$1.37,$1.37,$1.37,$1.24,$1.24,$1.24,$1.33,$1.57,_,,,,,,,,,
Red Rose Transit Authority (RRTA),$1.27,$1.27,$1.35,$1.40,$1.57,$1.48,$1.52,$1.75,_,,,,,,,,,
Southeastern Pennsylvania Transportation Authority (SEPTA),$1.71,,,,,,,,,,,,,,,,,
Schuylkill Transportation System (STS),$1.39,$1.39,$1.39,$1.34,$1.34,$1.34,$1.39,$1.35,_,,,,,,,,,
Shenango Valley Shuttle Service (SVSS),$0.57,$0.57,$0.57,$0.57,$0.57,,,,,,,,,,,,,
Venango County Transportation Office (VCTO),$1.38,$1.38,$1.38,$1.47,$1.75,$1.53,$1.54,$1.44,_,,,,,,,,,
Westmoreland County Transit Authority (WCTA),$1.83,$1.83,$1.83,$2.40,$2.30,$2.27,$2.70,$3.15,_,,,,,,,,,
Transit Authority of Warren County (TAWC),$0.66,$0.66,$0.66,$0.73,$0.73,$0.73,$0.84,$0.90,_,,,,,,,,,
"Washington, City of",$2.21,$2.21,$2.21,$2.39,$1.53,$2.65,$2.49,$2.35,_,,,,,,,,,
Williamsport River Valley Transit (RVT),$0.79,$0.79,$0.79,$0.86,$1.03,$0.86,$0.87,$0.81,_,,,,,,,,,
Susquehanna Regional Transportation Authority (SRTA/rabbittransit),$1.49,$1.49,$1.49,$1.38,$1.38,$1.42,$1.42,$1.40,$1.40,,,,,,,,,
Mercer County Regional Council of Governments (MCRCOG-SVSS/MCCT),,,,,,$0.59,$0.60,$0.64,_,,,,,,,,,
Washington County Transportation Authority (Freedom Transit),,,,,,,,,_,,,,,,,,,
