,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),$1.71,,,,,,,,,,,,,,,,,
PITTSBURGH REGIONAL TRANSIT (PRT),$1.25,$1.43,$1.57,$1.46,$1.46,$1.58,$1.68,$1.67,_,,,,,,,,,
ALTOONA METRO TRANSIT (AMTRAN),$1.19,$1.19,$1.19,$1.23,$1.28,$1.37,$1.30,$1.32,_,,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),$1.87,$1.87,$1.87,$1.75,$1.85,$1.81,$1.89,$1.98,_,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),$1.08,$1.08,$1.08,$1.08,$1.01,$1.08,$1.11,$1.12,_,,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),$1.08,$1.08,$1.08,$1.08,$1.07,$0.97,$0.98,$0.95,_,,,,,,,,,
Capital Area Transit (CAT),$1.25,$1.27,$1.27,$1.27,$1.27,$1.48,$1.52,$1.53,_,,,,,,,,,
Capitol Bus Company,$4.27,$4.27,$4.27,,,,,,,,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),$0.64,$0.64,$0.64,$0.70,$0.79,$0.83,$0.85,$0.88,_,,,,,,,,,
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),$1.22,$1.22,$1.22,$1.28,$1.28,$1.14,$1.19,$1.43,_,,,,,,,,,
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),$1.11,$1.11,$1.11,$1.41,$1.75,$1.68,$1.70,$1.79,_,,,,,,,,,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),$1.16,$1.16,$1.15,$1.06,$1.10,$0.91,$0.95,$1.15,_,,,,,,,,,
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),$1.18,$1.24,$1.24,$1.68,$1.90,$1.68,$1.83,$1.90,_,,,,,,,,,
HAZLETON PUBLIC TRANSIT (HPT),$1.34,$1.34,$1.34,$1.27,$1.25,$1.13,$1.19,$1.17,_,,,,,,,,,
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),$0.75,$0.75,$0.75,$0.84,$0.84,$1.15,$1.11,$1.20,_,,,,,,,,,
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),$1.18,$1.18,$1.18,$1.26,$1.50,$1.29,$1.26,$1.32,_,,,,,,,,,
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),$2.72,$2.72,$2.72,$1.79,$1.79,$2.19,$2.12,$2.57,_,,,,,,,,,
POTTSTOWN AREA RAPID TRANSIT (PART),$1.37,$1.37,$1.37,$1.24,$1.24,$1.24,$1.33,$1.57,_,,,,,,,,,
RRTA (Red Rose Transit Authority),$1.27,$1.27,$1.35,$1.40,$1.57,$1.48,$1.52,$1.75,_,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),$0.57,$0.57,$0.57,$0.57,$0.57,,,,,,,,,,,,,
"Washington, City of",$2.21,$2.21,$2.21,$2.39,$1.53,$2.65,$2.49,$2.35,_,,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),$1.83,$1.83,$1.83,$2.40,$2.30,$2.27,$2.70,$3.15,_,,,,,,,,,
Williamsport River Valley Transit (RVT),$0.79,$0.79,$0.79,$0.86,$1.03,$0.86,$0.87,$0.81,_,,,,,,,,,
YCTA (York County Transportation Authority*),$1.49,$1.49,$1.49,$1.38,$1.38,,,,,,,,,,,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,$2.78,$2.44,$1.06,$0.80,$1.28,$2.01,$1.11,$1.45,_,,,,,,,,,
BUTLER TRANSIT AUTHORITY (BTA),$1.11,$1.11,$1.11,$0.91,$0.91,$0.79,$1.12,$1.05,_,,,,,,,,,
Carbon County Community Transit (CCCT),$1.37,$1.37,$1.37,$2.41,$2.41,$1.39,$1.02,$1.07,_,,,,,,,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),$0.66,$0.66,$0.66,$0.92,$0.92,$0.86,$0.82,$0.83,_,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",$0.68,$0.68,$0.68,$0.85,$0.83,$0.63,$0.61,$0.79,_,,,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),$1.16,$1.16,$1.16,$0.72,$0.72,$0.88,$0.59,$0.71,_,,,,,,,,,
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),$1.00,$1.00,$1.00,$1.29,$1.29,$1.37,$1.44,$1.37,_,,,,,,,,,
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),$1.19,$1.19,$1.19,$1.22,$1.22,$1.30,$1.46,$1.42,_,,,,,,,,,
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),$0.66,$0.66,$0.66,$1.06,$1.06,$1.02,$1.92,$1.54,_,,,,,,,,,
Monroe Township,$0.70,,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),$1.20,$1.20,$1.20,$1.27,$1.27,$0.97,$1.02,$0.81,_,,,,,,,,,
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),$1.25,$1.25,$1.25,$1.52,$1.52,$1.79,$2.15,$1.97,_,,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),$1.39,$1.39,$1.39,$1.34,$1.34,$1.34,$1.39,$1.35,_,,,,,,,,,
VCTO (Venango County Transportation Office),$1.38,$1.38,$1.38,$1.47,$1.75,$1.53,$1.54,$1.44,_,,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),$0.66,$0.66,$0.66,$0.73,$0.73,$0.73,$0.84,$0.90,_,,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,$0.59,$0.60,$0.64,_,,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,$1.42,$1.42,$1.40,$1.40,,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,_,,,,,,,,,
