,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALTOONA METRO TRANSIT (AMTRAN),"June, 2007 (4%)",June 2007 (4%),June 2007 (4%),July 2009 (7%),July 2011 (7%),July 2011 (7%),July 2011 (7%),August 2012 (7%),August 2012,July 2016,July 2017,July 2018,July 2019,July 2020,July 2020,July 2020,July 2020,July 2020
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,Sept. 2005 (25%),July 2007 (25%),July 2008 (25%),July 2008 (25%),July 2008 (25%),July 2008 (25%),July 2008 (25%),July 2008 (25%),July 2008,July 2008,July 2008,July 2008,July 2008,July 2008,July 2008,July 2008,July 2008,July 2008
BARTA (Berks Area Regional Transportation Authority),Jan. 2007 (10%),Jan. 2007 (10%),Jan. 2007 (10%),Jan 2007 (10%),Jan 2011 (6%),January 2011 (6%),January 2011 (6%),January 2011 (6%),January 2011,,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),Jan. 2005 (40%),Jan. 2005 (40%),Jan. 2005 (40%),July 2009 (14%),July 2009 (14%),Jan 2013 (12.5%),Jan 2013 (12.5%),Jan 2013 (13%),Jan 2013,January 2013,January 2017,January 2017,January 2017,January 2017,January 2017,January 2017,January 2017,January 2017
BUTLER TRANSIT AUTHORITY (BTA),"July, 2002 (25%)",July 2002 (25%),July 2002 (25%),July 2002 (25%),July 2002 (25%),July 2012,July 2012 (25%),July 2012 (25%),July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012
Capital Area Transit (CAT),"April, 2001 (11%)",June 2007 (6.7%),July 2008 (3.1%),July 2008 (3.1%),October 2010 (6%),October 2010 (6%),October 2010 (6%),October 2010 (6%),October 2010,October 2010,October 2010,October 2010,November 2019,November 2019,November 2019,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),2003 (25 %),2003 (25%),2003 (25%),2010 (20%),August 2010 (20%),August 2010 (20%),August 2010 (20%),July 2014 (17%),July 2014,July 2014,July 2014,August 2017,August 2017,July 2019,July 2019,July 2019,July 2019,July 2019
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),"August, 2004 (25%)",Aug. 2004 (25%),Aug. 2004 (25%),Aug 2004 (25%),August 2005 (25%),August 2005 (25%),August 2005 (33%),August 2005 (33%),October 2014,Oct. 2014,Oct. 2014,October 2014,October 2014,October 2014,October 2014,January 2022,January 2022,January 2022
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),"July, 2000 (17.6%)",July 2007 (40%),July 2007 (40%),July 2007 (40%),August 2011 (0.7%),August 2011 (0.7%),August 2011 (7%),August 2011 (7%),August 2011,August 2011,August 2011,August 2011,August 2011,August 2011,August 2011,August 2011,August 2011,August 2011
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),"1994, 25%",1994 (25%),1994 (25%),1994 (25%),1994 (25%),July 2012 (20%),July 2013 (17%),July 2013 (17%),July 2013,July 2013,July 2013,July 2013,July 2013,July 2013,July 2013,July 2013,July 2013,July 2013
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),Jan. 2007 (3.5%),Jan. 2007 (3.5%),Jan. 2007 (3.5%),Jan 2007 (3.5%),Jan 2007 (3.5%),Jan 2007 (3.5%),Jan 2007 (3.5%),Jan 2007 (4%),Jan 2016,January 2017,January 2018,January 2018,January 2019,January 2019,January 2020,January 2020,January 2020,January 2020
Capitol Bus Company,1987-88,1987-88,1987-88,,,,,,,,,,,,,,,
Carbon County Community Transit (CCCT),Nov. 1999 (50%),Nov. 1999 (50%),Nov. 1999 (50%),Nov 1999 (50%),Nov 2002 (50%),Nov 2002 (50%),Nov 2002 (50%),Nov 2002 (50%),Oct 2008,November 2002,November 2002,November 2002,November 2002,November 2002,November 2002,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)","July, 1992 (20%)",July 1992 (20%),July 2009 (25%),July 2009 (25%),July 2009 (25%),July 2009 (25%),July 2009 (25%),July 2009 (25%),July 2009,July 2009,July 2009,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),Oct. 2005 (25%),Oct. 2005 (25%),Oct. 2005 (25%),Oct 2005 (25%),October 2005 (25%),October 2005 (25%),October 2005 (33%),October 2005 (33%),October 2005,July 2005,July 2005,July 2005,July 2005,July 2005,July 2005,July 2005,July 2005,July 2005
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),1997 (10%),1997 (10%),March 1997 (10%),March 1997 (10%),Sep 1997 (10%),March 1997 (10%),March 1997 (10%),October 2014 (14%),October 2015,October 2016,October 2016,October 2017,October 2018,October 2018,October 2018,October 2018,October 2018,October 2018
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),Nov. 2006 (25%),July 2008 (12%),July 2008 (12%),July 2008 (12%),July 2008 (12%),July 2008 (12%),July 2012 (43%),July 2012 (43%),July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012,July 2012
