,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"2,670",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"1,358","1,356","1,391","1,333","1,231","1,170","1,170","1,183",,,,,,,,,,
AMTRAN (Altoona Metro Transit),74,74,74,52,48,28,28,28,,,,,,,,,,
BCTA (Beaver County Transit Authority*),54,54,48,48,44,45,45,,,,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),91,91,,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),59,,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),144,142,134,134,134,138,131,,,,,,,,,,,
Capitol Bus Company,1,1,1,,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),60,60,60,69,69,69,71,,,,,,,,,,,
COLTS (County of Lackawanna Transit System),45,45,33,33,33,60,65,,,,,,,,,,,
COLT (County of Lebanon Transit Authority),30,27,27,,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),133,141,147,136,141,135,134,,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),52,52,52,52,52,34,34,,,,,,,,,,,
HPT (Hazleton Public Transit),16,16,16,15,15,19,16,,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),198,198,183,183,183,,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),62,62,62,62,62,90,95,,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),27,27,27,27,27,27,31,,,,,,,,,,,
Pottstown Urban Transit,10,,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),128,128,131,131,131,113,102,,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),7,7,7,7,5,,,,,,,,,,,,,
"Washington, City of",34,9,9,9,9,10,11,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority),123,,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),35,35,35,35,35,31,31,,,,,,,,,,,
YCTA (York County Transportation Authority),91,,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),87,87,87,87,90,90,99,,,,,,,,,,,
BTA (Butler Transit Authority),6,6,6,6,6,6,6,,,,,,,,,,,
Carbon County Community Transit,18,18,18,13,23,23,25,,,,,,,,,,,
CATA (Crawford Area Transportation Authority),19,19,19,22,22,22,33,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)",5,,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),59,59,65,65,65,64,63,,,,,,,,,,,
Indigo (Indiana County Transit Authority),29,34,34,,,,,,,,,,,,,,,
Mid-County Transit,6,6,6,6,6,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),50,50,50,50,50,50,44,,,,,,,,,,,
Monroe Township,3,,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of",3,3,3,3,3,4,4,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),30,30,30,30,30,30,35,,,,,,,,,,,
STS (Schuylkill Transportation System),43,43,43,43,43,43,43,,,,,,,,,,,
VCTO (Venango County Transportation Office),4,3,3,3,3,,3,,,,,,,,,,,
Warren County Transit Authority,198,19,19,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,59,59,56,58,76,76,,,,,,,,,,,
"Pottstown, Borough of",,10,10,,,,,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,125,125,125,125,181,188,,,,,,,,,,,
YCTA (York County Transportation Authority*),,91,91,91,85,,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,5,5,5,,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,91,93,117,117,119,,,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,27,32,32,32,,,,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,10,10,11,11,,,,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,39,39,39,37,,,,,,,,,,,
"Warren County, Transit Authority of",,,,18,18,,22,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,6,,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,191,191,,,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,35,7,,,,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,101,110,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,6,6,,,,,,,,,,,
Mid County Transit Authority,,,,,,19,21,,,,,,,,,,,
