,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),$2.00,,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),$1.75,$2.00,$2.00,$2.00,$2.25,$2.50,$2.50,$2.50,,,,,,,,,,
AMTRAN (Altoona Metro Transit),$1.30,$1.30,$1.30,$1.40,$1.50,$1.50,$1.50,$1.50,,,,,,,,,,
BCTA (Beaver County Transit Authority*),$1.75,$1.75,$1.75,$2.00,$2.00,$2.25,$2.25,,,,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),$1.60,$1.60,,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),$1.50,,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),$1.50,$1.60,$1.65,$1.65,$1.75,$1.75,$1.75,,,,,,,,,,,
Capitol Bus Company,$1.85,$1.85,$1.85,,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),$1.25,$1.25,$1.25,$1.50,$1.50,$1.50,$1.50,,,,,,,,,,,
COLTS (County of Lackawanna Transit System),$1.25,$1.25,$1.25,$1.25,$1.25,$1.50,$1.75,,,,,,,,,,,
COLT (County of Lebanon Transit Authority),$1.00,$1.40,$1.40,,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),$1.25,$1.40,$1.40,$1.40,$1.40,$1.40,$2.00,,,,,,,,,,,
HPT (Hazleton Public Transit),$1.00,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),$2.00,$2.00,$2.00,$2.00,$2.00,,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),$1.50,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,,,,,,,,,,
Pottstown Urban Transit,$1.25,,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),$1.35,$1.35,$1.50,$1.60,$1.70,$1.70,$1.70,,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),$1.00,$1.00,$1.00,$1.00,$1.00,,,,,,,,,,,,,
"Washington, City of",$1.10,$1.10,$1.10,$1.10,$1.10,$1.50,$1.50,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority),$1.20,,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,$2.00,,,,,,,,,,,
YCTA (York County Transportation Authority),$1.35,,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),$1.00,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,,,,,,,,,,,
BTA (Butler Transit Authority),$1.00,$1.00,$1.00,$1.00,$1.00,$1.25,$1.25,,,,,,,,,,,
Carbon County Community Transit,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,,,,,,,,,,,
CATA (Crawford Area Transportation Authority),$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)",$1.00,,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),$1.00,$1.00,$1.00,_,$1.00,$1.00,$1.00,,,,,,,,,,,
Indigo (Indiana County Transit Authority),$1.00,$1.00,$1.00,,,,,,,,,,,,,,,
Mid-County Transit,$1.00,$1.00,$1.00,$1.00,$1.00,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,$1.25,,,,,,,,,,,
Monroe Township,$1.00,,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of",$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),$0.75,$0.75,$0.75,$0.75,$1.00,$1.00,$1.00,,,,,,,,,,,
STS (Schuylkill Transportation System),$1.25,$1.25,$1.25,$1.25,$1.25,$1.30,$1.30,,,,,,,,,,,
VCTO (Venango County Transportation Office),$1.50,$1.50,$1.50,$1.50,$1.50,,$1.50,,,,,,,,,,,
Warren County Transit Authority,$0.75,$0.75,$0.75,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,$1.50,$1.50,$1.50,$1.50,$1.50,$1.50,,,,,,,,,,,
"Pottstown, Borough of",,$1.50,$1.50,,,,,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,$1.50,$1.50,$1.50,$1.50,$1.75,$2.00,,,,,,,,,,,
YCTA (York County Transportation Authority*),,$1.35,$1.35,$1.40,$1.40,,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,$1.00,$1.25,$1.25,,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,$1.60,$1.60,$1.70,$1.70,$1.70,,,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,$1.40,$1.50,$1.50,$1.50,,,,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,$1.50,$1.50,$1.70,$1.70,,,,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,$1.00,$1.25,$1.25,$1.25,,,,,,,,,,,
"Warren County, Transit Authority of",,,,$0.75,$0.75,,$1.00,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,$1.25,,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,$2.00,$2.00,,,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,$1.00,$1.00,,,,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,$1.50,$1.55,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,$1.25,$1.25,,,,,,,,,,,
Mid County Transit Authority,,,,,,$1.25,$1.25,,,,,,,,,,,
