,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALTOONA METRO TRANSIT (AMTRAN),"['41', '7']","['41', '7']","['41', '7']","['40', '8']","['40', '8']","['37', '8']","['37', '6']","['39', '7']","['52', '3', '5']",88,87,87,89,89,89,96,96,96
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,"['22', '86']","['21', '81']","['20', '90']","['29', '93']","['29', '93']","['57', '88']","['58', '90']","['58', '92']","['104', '21']",157,158,168,168,170,157,157,153,150
BARTA (Berks Area Regional Transportation Authority),"['136', '9']","['143', '7']","['144', '8']","['151', '6']","['163', '9']","['163', '9']","['175', '8']","['169', '7']","['163', '8']",,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),"['93', '12']","['91', '5']","['91', '5']","['92', '5']","['87', '2']","['91', '2']","['93', '1']","['93', '1']","['96', '2']",93,95,92,92,92,79,79,88,92
BUTLER TRANSIT AUTHORITY (BTA),"['4', '2']","['3', '2']","['3', '4']","['3', '4']","['4', '6']","['4', '6']","['4', '6']","['14', '9']","['14', '12']",25,27,27,25,25,25,25,25,25
Capital Area Transit (CAT),"['177', '28']","['187', '26']","['197', '25']","['197', '25']","['197', '25']","['187', '22']","['186', '14']","['182', '18']","['215', '40']",235,235,235,235,235,235,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),"['121', '2']","['121', '2']","['121', '2']","['121', '2']","['140', '4']","['139', '4']","['147', '4']","['176', '3']","['188', '1', '8']",201,208,201,206,223,176,176,176,176
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),"['8', '5']","['8', '5']","['8', '5']","['10', '19']","['10', '19']","['10', '19']","['10', '19']","['26', '20']","['25', '18']",46,73,68,68,68,68,68,91,84
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),"['50', '8']","['47', '3']","['47', '3']","['47', '3']","['50', '7']","['50', '7']","['44', '6']","['44', '6']","['41', '6']",47,48,51,51,49,49,47,47,48
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),"['105', '5']","['105', '5']","['73', '4']","['73', '4']","['73', '4']","['109', '9']","['110', '8']","['103', '15']","['104', '23']",128,128,141,141,141,141,141,141,128
