,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"['8,784', '136']",,,,,,,,,,,,,,,,,
PITTSBURGH REGIONAL TRANSIT (PRT),"['2,860', '0']","['2,728', '0']","['2,708', '0']","['2,892', '0']","['2,445', '0']","['2,398', '0']","['2,437', '0']","['2,477', '0']","['2,463', '0']",,,,,,,,,
ALTOONA METRO TRANSIT (AMTRAN),"['41', '7']","['41', '7']","['41', '7']","['40', '7']","['40', '7']","['37', '7']","['37', '5']","['39', '6']","['37', '7']",,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),"['73', '10']","['55', '4']","['55', '4']","['56', '3']","['53', '1']","['60', '1']","['58', '1']","['57', '1']","['61', '1']",,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),"['95', '6']","['95', '6']","['96', '7']","['98', '4']","['92', '5']","['92', '5']","['97', '4']","['97', '3']","['93', '5']",,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),"['85', '9']","['84', '9']","['84', '9']","['92', '12']","['96', '13']","['96', '13']","['93', '28']","['73', '20']","['103', '14']",,,,,,,,,
Capital Area Transit (CAT),"['133', '16']","['144', '15']","['150', '14']","['150', '14']","['150', '14']","['137', '11']","['145', '10']","['147', '12']","['141', '15']",,,,,,,,,
Capitol Bus Company,"['3', '0']","['3', '0']","['3', '0']",,,,,,,,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),"['121', '2']","['121', '2']","['121', '2']","['121', '2']","['140', '4']","['139', '4']","['147', '4']","['176', '3']","['180', '5']",,,,,,,,,
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),"['73', '5']","['73', '5']","['73', '4']","['73', '4']","['73', '4']","['80', '5']","['80', '5']","['72', '9']","['69', '9']",,,,,,,,,
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),"['26', '7']","['32', '3']","['32', '3']","['32', '3']","['34', '4']","['34', '4']","['31', '2']","['31', '2']","['28', '1']",,,,,,,,,
