,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"July, 2001 (25%)",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),Sept. 2002 (9%),Jan. 2008 (14.3%),Jan. 2008 (14.3%),Jan 2008 (12.5%),Jan 2011 (12.5%),July 2012 (11.1%),July 2012 (11.1%),July 2012 (11%),July 2012,July 2012,July 2012,,,,,,,
AMTRAN (Altoona Metro Transit),"June, 2007 (4%)",June 2007 (4%),June 2007 (4%),July 2009 (7%),July 2011 (7%),July 2011 (7%),July 2011 (7%),August 2012 (7%),August 2012,July 2016,July 2017,,,,,,,
BCTA (Beaver County Transit Authority*),Jan. 2005 (40%),Jan. 2005 (40%),Jan. 2005 (40%),July 2009 (14%),July 2009 (14%),Jan 2013 (12.5%),Jan 2013 (12.5%),Jan 2013 (13%),Jan 2013,January 2013,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),Jan. 2007 (10%),Jan. 2007 (10%),,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),Jan. 2007 (3.5%),,,,,,,,,,January 2018,,,,,,,
CAT (Capital Area Transit),"April, 2001 (11%)",June 2007 (6.7%),July 2008 (3.1%),July 2008 (3.1%),October 2010 (6%),October 2010 (6%),October 2010 (6%),October 2010 (6%),October 2010,October 2010,October 2010,,,,,,,
Capitol Bus Company,1987-88,1987-88,1987-88,,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),2003 (25 %),2003 (25%),2003 (25%),2010 (20%),August 2010 (20%),August 2010 (20%),August 2010 (20%),July 2014 (17%),July 2014,July 2014,July 2014,,,,,,,
COLTS (County of Lackawanna Transit System),"1994, 25%",1994 (25%),1994 (25%),1994 (25%),1994 (25%),July 2012 (20%),July 2013 (17%),July 2013 (17%),July 2013,July 2013,July 2013,,,,,,,
COLT (County of Lebanon Transit Authority),"July, 2000 (17.6%)",July 2007 (40%),July 2007 (40%),,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),1997 (10%),1997 (10%),March 1997 (10%),March 1997 (10%),Sep 1997 (10%),March 1997 (10%),March 1997 (10%),October 2014 (14%),October 2015,October 2016,October 2016,,,,,,,
FACT (Fayette Area Coordinated Transportation),Nov. 2006 (25%),July 2008 (12%),July 2008 (12%),July 2008 (12%),July 2008 (12%),July 2008 (12%),July 2012 (43%),July 2012 (43%),July 2012,July 2012,July 2012,,,,,,,
HPT (Hazleton Public Transit),July 2005 (33 %),Oct. 2006 (33%),Oct. 2006 (33%),Oct 2006 (33%),October 2006 (33%),October 2006 (33%),October 2006 (32%),October 2006 (32%),October 2015,October 2015,October 2015,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"April, 2007 (15%)",April 2007 (15%),April 2007 (15%),April 2007 (15%),April 2007 (15%),,,,,April 2007,April 2007,,,,,,,
LCTA (Luzerne County Transportation Authority),Aug. 2006 (20%),Aug. 2006 (20%),Aug. 2006 (20%),Aug 2006 (20%),August 2006 (20%),August 2006 (20%),August 2006 (20%),August 2006 (20%),August 2006,August 2006,January 2018,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),Dec. 2004 (25%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2008 (33%),July 2014,July 2014,July 2014,,,,,,,
Pottstown Urban Transit,1995 (25%),,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),July 2007 (8%),July 2007 (8%),July 2007 (8%),August 2010 (7%),July 2011 (6%),August 2011 (6%),August 2011 (6%),August 2011 (6%),August 2011,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"July, 2006 (33%)",July 2006 (33%),July 2006 (33%),July 2006 (33%),July 2006 (33%),,,,,,,,,,,,,
"Washington, City of","June, 2004 (10%)",June 2004 (10%),June 2004 (10%),June 2004 (10%),June 2004 (10%),July 2012 (36.4%),July 2012 (36.4%),July 2012 (36%),July 2012,,,,,,,,,
WCTA (Westmoreland County Transit Authority),1992 (20%),,,,,,,,,,January 2014,,,,,,,
Williamsport RVT (River Valley Transit),May 2005 (33%),May 2005 (33%),May 2005 (33%),May 2005 (33%),May 2005 (33%),May 2005 (33%),May 2005 (33%),Sept. 2014 (10%),May 2005,May 2005,May 2005,,,,,,,
YCTA (York County Transportation Authority),Jan. 2007 (4%),,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),Sept. 2005 (25%),July 2007 (25%),July 2008 (25%),July 2008 (25%),July 2008 (25%),July 2008 (25%),July 2008 (25%),July 2008 (25%),July 2008,July 2008,July 2008,,,,,,,
BTA (Butler Transit Authority),"July, 2002 (25%)",July 2002 (25%),July 2002 (25%),July 2002 (25%),July 2002 (25%),July 2012,July 2012 (25%),July 2012 (25%),July 2012,July 2012,July 2012,,,,,,,
Carbon County Community Transit,Nov. 1999 (50%),Nov. 1999 (50%),Nov. 1999 (50%),Nov 1999 (50%),Nov 2002 (50%),Nov 2002 (50%),Nov 2002 (50%),Nov 2002 (50%),,,,,,,,,,
CATA (Crawford Area Transportation Authority),"August, 2004 (25%)",Aug. 2004 (25%),Aug. 2004 (25%),Aug 2004 (25%),August 2005 (25%),August 2005 (25%),August 2005 (33%),August 2005 (33%),October 2014,Oct. 2014,Oct. 2014,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)","July, 1992 (20%)",,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),Oct. 2005 (25%),Oct. 2005 (25%),Oct. 2005 (25%),Oct 2005 (25%),October 2005 (25%),October 2005 (25%),October 2005 (33%),October 2005 (33%),October 2005,July 2005,July 2005,,,,,,,
Indigo (Indiana County Transit Authority),"July, 1999 (25%)",July 1999 (25%),July 1999 (25%),,,,,,,,,,,,,,,
Mid-County Transit,"August, 2003 (25%)",Aug. 2003 (25%),Aug. 2003 (25%),Aug 2003 (25%),August 2003 (25%),,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),Feb. 1996 (25%),Feb. 1996 (25%),Feb. 1996 (25%),Feb 1996 (25%),February 1996 (25%),February 1996,Feb. 1996 (25%),"July, 2014 (20%)","July, 2014",July 2014,July 2014,,,,,,,
Monroe Township,"July, 2001",,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of","August, 2007 (30%)",Aug. 2007 (30%),Aug. 2007 (30%),Aug 2007 (30%),August 2007 (30%),August 2007 (30%),August 2007 (43%),,,,,,,,,,,
NCATA (New Castle Area Transit Authority),"July, 1989 (25%)",July 1989 (25%),July 1989 (25%),July 1989 (25%),March 2012 (25%),March 2012,March 2012 (33%),,,,,,,,,,,
STS (Schuylkill Transportation System),July 1998 (9%),July 1998 (9%),July 1998 (9%),July 1998 (9%),July 1998 (9%),July 2012 (4%),July 2012 (4%),July 2012 (4%),July 2015,July 2016,July 2016,,,,,,,
VCTO (Venango County Transportation Office),"July, 2005 (20%)",July 2005 (20%),July 2005 (20%),July 2005 (20%),July 2005 (20%),,July 2005 (20%),July 2005 (20%),July 2005,July 2005,,,,,,,,
Warren County Transit Authority,Nov. 1999 (25%),Nov. 1999 (25%),Nov. 1999 (25%),,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,Jan. 2007 (3.5%),Jan. 2007 (3.5%),Jan 2007 (3.5%),Jan 2007 (3.5%),Jan 2007 (3.5%),Jan 2007 (3.5%),Jan 2007 (4%),Jan 2016,January 2017,,,,,,,,
"Pottstown, Borough of",,2007 (20%),2007 (20%),,,,,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,Feb. 2008 (25%),Feb. 2008 (25%),Feb 2008 (25%),Feb 2008 (25%),Jan 2013 (16.7%),Jan 2014 (14.3%),Jan 2014 (14%),,January 2014,,,,,,,,
YCTA (York County Transportation Authority*),,Jan. 2007 (4%),Jan. 2007 (4%),Jan 2008 (4%),January 2008 (4%),,,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,July 1992 (20%),July 2009 (25%),July 2009 (25%),,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,Jan. 2007 (10%),Jan 2007 (10%),Jan 2011 (6%),January 2011 (6%),January 2011 (6%),January 2011 (6%),January 2011,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,July 2007 (40%),August 2011 (0.7%),August 2011 (0.7%),August 2011 (7%),August 2011 (7%),August 2011,August 2011,August 2011,,,,,,,
PART (Pottstown Area Rapid Transit),,,,2007 (20%),2007 (20%),Sep 2012 (13.3%),Sep 2012 (13.3%),,,,July 2016,,,,,,,
IndiGO (Indiana County Transit Authority),,,,July 1999 (25%),Sep 2010 (25%),September 2010,Sep. 2010 (25%),Sep. 2010 (25%),July 2015,July 2016,July 2016,,,,,,,
"Warren County, Transit Authority of",,,,Nov 1999 (25%),Nov 1999 (25%),,July 2012 (33%),,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,July 2009 (25%),,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,April 2007 (15%),April 2007 (15%),April 2007 (15%),October 2008,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,July 2006 (33%),July 2006 (33%),July 2014 (25%),July 2014,July 2014,July 2014,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,July 2012 (7.1%),July 2013 (3.3%),,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,July 2009 (25%),July 2009 (25%),July 2009 (25%),July 2009,July 2009,July 2009,,,,,,,
Mid County Transit Authority,,,,,,April 2012 (25%),April 2012 (25%),April 2012 (25%),April 2012,April 2012,April 2012,,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,July 2013 (3%),,,,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,August 2007 (43%),,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,July 2012 (33%),,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,May 2011,,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,Jan 2014,,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,July 2013,,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,Oct 2008,November 2002,November 2002,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,August 2007,August 2007,August 2007,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,July 2012,July 2012,July 2012,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,July 2014,July 2014,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,July 2011,July 2011,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,July 2012,July 2012,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,January 2017,,,,,,,
