,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALTOONA METRO TRANSIT (AMTRAN),"['0', '0']","['0', '0']","['0', '0']","['0', '1']","['0', '1']","['0', '1']","['0', '1']","['0', '1']","['0', '1']",,,,,,,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']",,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),"['41', '3']","['48', '1']","['48', '1']","['53', '2']","['71', '4']","['71', '4']","['78', '4']","['72', '4']","['55', '3']",,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),"['20', '2']","['36', '1']","['36', '1']","['36', '2']","['34', '1']","['31', '1']","['35', '0']","['36', '0']","['35', '1']",,,,,,,,,
BUTLER TRANSIT AUTHORITY (BTA),"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']",,,,,,,,,
Capital Area Transit (CAT),"['44', '12']","['43', '11']","['47', '11']","['47', '11']","['47', '11']","['50', '11']","['41', '4']","['35', '6']","['51', '15']",,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['1', '0']",,,,,,,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),"['8', '4']","['8', '4']","['8', '4']","['10', '15']","['10', '15']","['5', '15']","['5', '15']","['14', '13']","['13', '11']",,,,,,,,,
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),"['24', '1']","['15', '0']","['15', '0']","['15', '0']","['16', '3']","['16', '3']","['13', '4']","['13', '4']","['13', '5']",,,,,,,,,
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),"['32', '0']","['32', '0']","['0', '0']","['0', '0']","['0', '0']","['29', '4']","['30', '3']","['31', '6']","['35', '7']",,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),"['24', '3']","['16', '3']","['16', '3']","['9', '2']","['9', '2']","['9', '2']","['9', '2']","['25', '14']","['4', '0']",,,,,,,,,
Capitol Bus Company,"['0', '0']","['0', '0']","['0', '0']",,,,,,,,,,,,,,,
Carbon County Community Transit (CCCT),"['30', '0']","['30', '0']","['30', '0']","['30', '0']","['30', '0']","['30', '0']","['30', '0']","['0', '0']","['0', '0']",,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']",,,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),"['9', '17']","['9', '17']","['9', '17']","['9', '17']","['9', '17']","['9', '17']","['9', '17']","['18', '21']","['37', '24']",,,,,,,,,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),"['59', '34']","['66', '36']","['67', '27']","['67', '29']","['65', '38']","['54', '40']","['53', '48']","['47', '41']","['53', '31']",,,,,,,,,
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),"['22', '6']","['22', '6']","['22', '6']","['22', '6']","['22', '6']","['22', '6']","['12', '3']","['26', '7']","['30', '4']",,,,,,,,,
HAZLETON PUBLIC TRANSIT (HPT),"['6', '3']","['6', '3']","['6', '3']","['6', '3']","['2', '2']","['2', '2']","['0', '0']","['0', '0']","['0', '1']",,,,,,,,,
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),"['2', '2']","['2', '3']","['2', '3']","['0', '4']","['1', '7']","['1', '5']","['1', '5']","['1', '5']","['9', '5']",,,,,,,,,
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),"['4', '2']","['4', '2']","['4', '2']","['4', '2']","['4', '2']","['4', '2']","['0', '0']","['0', '0']","['5', '0']",,,,,,,,,
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),"['12', '0']","['12', '0']","['12', '0']","['12', '0']","['12', '0']","['37', '29']","['36', '26']","['38', '15']","['34', '26']",,,,,,,,,
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),"['7', '15']","['7', '15']","['7', '15']","['7', '15']","['7', '15']","['7', '15']","['6', '23']","['7', '21']","['21', '31']",,,,,,,,,
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']",,,,,,,,,
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),"['0', '0']","['0', '0']","['0', '0']","['15', '0']","['15', '0']","['15', '5']","['10', '5']","['8', '6']","['14', '5']",,,,,,,,,
Monroe Township,"['0', '0']",,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),"['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']","['0', '0']",,,,,,,,,
