,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"[86, 0]",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"[568, 107]","[541, 141]","[541, 141]","[435, 0]","[431, 0]","[435, 0]","[346, 86]","['307', '77']","['0', '0']",,,,,,,,,
AMTRAN (Altoona Metro Transit),"[0, 0]","[0, 0]","[0, 0]","[0, 1]","[0, 1]","[0, 1]","[0, 1]","['0', '1']","['0', '1']",,,,,,,,,
BCTA (Beaver County Transit Authority*),"[20, 2]","[36, 1]","[36, 1]","[36, 2]","[34, 1]","[31, 1]","[35, 0]","['36', '0']","['35', '1']",,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),"[41, 3]","[48, 1]",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),"[24, 3]",,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),"[44, 12]","[43, 11]","[47, 11]","[47, 11]","[47, 11]","[50, 11]","[41, 4]","['35', '6']","['51', '15']",,,,,,,,,
Capitol Bus Company,"[0, 0]","[0, 0]","[0, 0]",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),"[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","['0', '0']","['1', '0']",,,,,,,,,
COLTS (County of Lackawanna Transit System),"[32, 0]","[32, 0]","[0, 0]","[0, 0]","[0, 0]","[29, 4]","[30, 3]","['31', '6']","['35', '7']",,,,,,,,,
COLT (County of Lebanon Transit Authority),"[24, 1]","[15, 0]","[15, 0]",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),"[59, 34]","[66, 36]","[67, 27]","[67, 29]","[65, 38]","[54, 40]","[53, 48]","['47', '41']","['53', '31']",,,,,,,,,
FACT (Fayette Area Coordinated Transportation),"[22, 6]","[22, 6]","[22, 6]","[22, 6]","[22, 6]","[22, 6]","[12, 3]","['26', '7']","['30', '4']",,,,,,,,,
