,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Altoona Metro Transit (AMTRAN),,,,,,,,,,38,39,39,38,38,38,42,42,42
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,58,62,65,65,70,67,67,67,71
Beaver County Transit Authority (BCTA),,,,,,,,,,92,95,91,91,91,79,79,88,92
Borough of Mount Carmel (LATS),,,,,,,,,,1,1,1,1,1,1,1,1,1
Butler Transit Authority (BTA),,,,,,,,,,4,4,4,4,4,4,4,4,5
Capital Area Transit (CAT),,,,,,,,,,190,190,190,185,185,185,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,180,190,180,192,192,161,161,161,161
Crawford Area Transportation Authority (CATA),,,,,,,,,,30,48,53,53,53,53,53,66,54
Carbon County Community Transit (CCCT),,,,,,,,,,0,0,2,2,2,2,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,42,41,44,44,44,44,42,42,42
County of Lackawanna Transit System (COLTS),,,,,,,,,,109,109,119,119,119,119,119,119,109
Susquehanna Regional Transportation Authority (SRTA/rabbittransit),,,,,,,,,,238,238,238,212,218,218,403,403,403
Cambria County Transit Authority (CAMTRAN),,,,,,,,,,104,102,107,110,108,108,109,116,122
"DuBois, Falls Creek, Sandy Township Joint Transp. Authority (DuFAST)",,,,,,,,,,8,8,,,,,,,
Endless Mountains Regional Transportation Authority (BeST Transit),,,,,,,,,,43,44,53,52,52,52,52,52,52
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,201,201,203,203,198,179,176,173,173
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,42,42,42,42,42,42,42,42,42
Hazleton Public Transit (HPT),,,,,,,,,,4,18,4,4,4,5,5,5,6
Indiana County Transit Authority (INDIGO),,,,,,,,,,50,50,50,50,50,47,47,47,47
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,197,197,220,220,231,231,233,233,309
Luzerne County Transportation Authority (LCTA),,,,,,,,,,121,123,123,123,123,123,123,123,123
Mercer County Regional Council of Governments (MCRCOG-SVSS/MCCT),,,,,,,,,,7,7,7,7,7,9,9,9,9
Monroe County Transportation Authority (MCTA),,,,,,,,,,49,49,50,50,49,49,49,46,53
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,5,5,4,4,4,4,4,5,5
Mid County Transit Authority/Town and Country Transit (TACT),,,,,,,,,,19,19,18,18,18,12,12,12,12
New Castle Area Transit Authority (NCATA),,,,,,,,,,51,51,51,51,50,50,50,50,50
Pittsburgh Regional Transit (PRT),,,,,,,,,,"2,521","2,522","2,543","2,511","2,519","2,587",,"2,520","2,572"
Pottstown Area Rapid Transit (PART),,,,,,,,,,_,_,5,5,5,5,5,5,5
South Central Transit Authority (SCTA),,,,,,,,,,244,252,253,253,249,251,251,251,251
Schuylkill Transportation System (STS),,,,,,,,,,52,52,54,54,54,50,50,50,50
Transit Authority of Warren County (TAWC),,,,,,,,,,20,18,18,19,20,20,18,18,18
Venango County Transportation Office (VCTO),,,,,,,,,,18,,,,,,,,
Washington County Transportation Authority (Freedom Transit),,,,,,,,,,13,13,13,14,14,12,12,16,16
Westmoreland County Transit Authority (WCTA),,,,,,,,,,15,15,14,14,14,14,139,139,139
Williamsport River Valley Transit (RVT),,,,,,,,,,54,56,57,70,70,70,,,
River Valley Transit Authority (RVTA),,,,,,,,,,,,,,,,83,83,83
