,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PITTSBURGH REGIONAL TRANSIT (PRT),,,,,,,,,,"2,521","2,522","2,543","2,511","2,519","2,587",,"2,520","2,572"
ALTOONA METRO TRANSIT (AMTRAN),,,,,,,,,,38,39,39,38,38,38,42,42,42
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,,,,,,92,95,91,91,91,79,79,88,92
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,,,,,,104,102,107,110,108,108,109,116,122
Capital Area Transit (CAT),,,,,,,,,,190,190,190,185,185,185,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,180,190,180,192,192,161,161,161,161
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,,,,,,,,,109,109,119,119,119,119,119,119,109
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,,,,,,,,,42,41,44,44,44,44,42,42,42
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,238,238,238,212,218,218,,,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,,,,,,,,,201,201,203,203,198,179,176,173,173
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,,,,,,,,,42,42,42,42,42,42,42,42,42
HAZLETON PUBLIC TRANSIT (HPT),,,,,,,,,,4,18,4,4,4,5,5,5,6
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,,,,,,,,,197,197,220,220,231,231,233,233,309
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,,,,,,,,,121,123,123,123,123,123,123,123,123
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,,,,,7,7,7,7,7,9,9,9,9
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,,,,,,,,,5,5,4,4,4,4,4,5,5
POTTSTOWN AREA RAPID TRANSIT (PART),,,,,,,,,,_,_,5,5,5,5,5,5,5
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,244,252,253,253,249,251,251,251,251
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,,13,13,13,14,14,12,12,16,16
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),,,,,,,,,,15,15,14,14,14,14,139,139,139
Williamsport River Valley Transit (RVT),,,,,,,,,,54,56,57,70,70,70,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,,,,,,,,,,58,62,65,65,70,67,67,67,71
BUTLER TRANSIT AUTHORITY (BTA),,,,,,,,,,4,4,4,4,4,4,4,4,5
Carbon County Community Transit (CCCT),,,,,,,,,,0,0,2,2,2,2,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,30,48,53,53,53,53,53,66,54
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,8,8,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),,,,,,,,,,43,44,53,52,52,52,52,52,52
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,,,,,,,,,50,50,50,50,50,47,47,47,47
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),,,,,,,,,,19,19,18,18,18,12,12,12,12
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),,,,,,,,,,49,49,50,50,49,49,49,46,53
BOROUGH OF MOUNT CARMEL (LATS),,,,,,,,,,1,1,1,1,1,1,1,1,1
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),,,,,,,,,,51,51,51,51,50,50,50,50,50
SCHUYLKILL TRANSPORTATION SYSTEM (STS),,,,,,,,,,52,52,54,54,54,50,50,50,50
VCTO (Venango County Transportation Office),,,,,,,,,,18,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),,,,,,,,,,20,18,18,19,20,20,18,18,18
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,83,83,83
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,403,403,403
