,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"['8,784', 136]",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"['2,860', 0]","['2,728', 0]","['2,708', 0]","['2,892', 0]","['2,445', 0]","['2,398', 0]","['2,437', 0]","['2,477', 0]",,,,,,,,,,
AMTRAN (Altoona Metro Transit),"[41, 7]","[41, 7]","[41, 7]","[40, 7]","[40, 7]","[37, 7]","[37, 5]","[39, 6]",,,,,,,,,,
BCTA (Beaver County Transit Authority*),"[73, 10]","[55, 4]","[55, 4]","[56, 3]","[53, 1]","[60, 1]","[58, 1]",,,,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),"[95, 6]","[95, 6]",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),"[85, 9]",,,,,,,,,,,,,,,,,
CAT (Capital Area Transit),"[133, 16]","[144, 15]","[150, 14]","[150, 14]","[150, 14]","[137, 11]","[145, 10]",,,,,,,,,,,
Capitol Bus Company,"[3, 0]","[3, 0]","[3, 0]",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),"[121, 2]","[121, 2]","[121, 2]","[121, 2]","[140, 4]","[139, 4]","[147, 4]",,,,,,,,,,,
COLTS (County of Lackawanna Transit System),"[73, 5]","[73, 5]","[73, 4]","[73, 4]","[73, 4]","[80, 5]","[80, 5]",,,,,,,,,,,
COLT (County of Lebanon Transit Authority),"[26, 7]","[32, 3]","[32, 3]",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),"[133, 0]","[138, 0]","[126, 3]","[130, 3]","[135, 3]","[137, 1]","[142, 1]",,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),"[10, 6]","[10, 6]","[10, 6]","[10, 6]","[10, 6]","[10, 6]","[8, 3]",,,,,,,,,,,
HPT (Hazleton Public Transit),"[29, 0]","[29, 0]","[29, 0]","[29, 0]","[20, 14]","[10, 13]","[3, 2]",,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"[168, 3]","[168, 3]","[168, 3]","[168, 3]","[168, 3]",,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),"[69, 10]","[69, 10]","[69, 10]","[72, 7]","[72, 7]","[78, 15]","[78, 14]",,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),"[7, 0]","[7, 0]","[7, 0]","[7, 0]","[7, 0]","[7, 0]","[6, 0]",,,,,,,,,,,
Pottstown Urban Transit,"[7, 7]",,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),"[80, 11]","[80, 11]","[80, 11]","[101, 11]","[101, 11]","[98, 13]","[86, 15]",,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"[5, 1]","[5, 1]","[5, 1]","[5, 1]","[3, 2]",,,,,,,,,,,,,
"Washington, City of","[3, 10]","[3, 10]","[3, 10]","[3, 10]","[3, 10]","[4, 10]","[3, 0]",,,,,,,,,,,
WCTA (Westmoreland County Transit Authority),"[44, 32]",,,,,,,,,,,,,,,,,
Williamsport RVT (River Valley Transit),"[42, 6]","[42, 6]","[42, 6]","[44, 9]","[44, 7]","[47, 4]","[49, 1]",,,,,,,,,,,
YCTA (York County Transportation Authority),"[76, 2]",,,,,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),"[22, 86]","[21, 81]","[20, 90]","[29, 93]","[29, 93]","[57, 88]","[58, 90]",,,,,,,,,,,
BTA (Butler Transit Authority),"[4, 2]","[3, 2]","[3, 4]","[3, 4]","[4, 6]","[4, 6]","[4, 6]",,,,,,,,,,,
Carbon County Community Transit,"[26, 0]","[26, 0]","[26, 0]","[1, 0]","[1, 0]","[1, 0]","[1, 0]",,,,,,,,,,,
CATA (Crawford Area Transportation Authority),"[0, 1]","[0, 1]","[0, 1]","[0, 4]","[0, 4]","[5, 4]","[5, 4]",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek , Sandy Township Joint Transportation Authority)","[7, 2]",,,,,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),"[8, 13]","[8, 13]","[8, 13]","[8, 13]","[8, 13]","[8, 13]","[8, 13]",,,,,,,,,,,
Indigo (Indiana County Transit Authority),"[25, 5]","[30, 11]","[30, 11]",,,,,,,,,,,,,,,
Mid-County Transit,"[7, 3]","[7, 3]","[7, 3]","[8, 1]","[8, 1]",,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),"[15, 9]","[15, 9]","[15, 9]","[15, 9]","[15, 9]","[15, 9]","[15, 4]",,,,,,,,,,,
Monroe Township,"[1, 5]",,,,,,,,,,,,,,,,,
"Mount Carmel, Borough of","[8, 0]","[8, 0]","[8, 0]","[8, 0]","[8, 0]","[5, 0]","[2, 3]",,,,,,,,,,,
NCATA (New Castle Area Transit Authority),"[55, 0]","[55, 0]","[55, 0]","[55, 0]","[55, 0]","[55, 0]","[55, 0]",,,,,,,,,,,
