,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PITTSBURGH REGIONAL TRANSIT (PRT),,,,,,,,,,48,66,48,49,49,49,,49,49
ALTOONA METRO TRANSIT (AMTRAN),,,,,,,,,,27,27,27,27,27,27,21,21,21
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,,,,,,_,_,_,_,_,_,_,_,_
Capital Area Transit (CAT),,,,,,,,,,11,11,11,11,11,11,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,9,9,9,5,5,3,3,3,3
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,,,,,,,,,_,_,_,_,_,_,_,_,_
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,,,,,,,,,_,_,_,_,_,_,_,_,_
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,53,53,53,25,4,4,,,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,,,,,,,,,2,2,2,2,2,2,2,2,2
HAZLETON PUBLIC TRANSIT (HPT),,,,,,,,,,6,6,4,8,8,5,5,5,3
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,,,,,,,,,32,32,30,30,18,18,25,25,9
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,,,,,,,,,10,_,_,_,_,_,_,_,_
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,,,,,_,_,_,_,_,_,_,_,_
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,,,,,,,,,4,4,4,4,7,7,7,7,5
POTTSTOWN AREA RAPID TRANSIT (PART),,,,,,,,,,10,10,10,10,10,10,10,10,10
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,16,16,19,19,10,34,34,34,34
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,,30,30,30,30,30,18,18,18,18
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),,,,,,,,,,24,24,31,31,31,31,_,_,_
Williamsport River Valley Transit (RVT),,,,,,,,,,_,_,_,_,_,_,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,,,,,,,,,,5,5,5,5,8,8,8,8,_
BUTLER TRANSIT AUTHORITY (BTA),,,,,,,,,,9,9,9,_,_,_,_,_,_
Carbon County Community Transit (CCCT),,,,,,,,,,12,12,6,6,7,7,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,0,0,0,_,_,_,_,_,_
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,0,0,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),,,,,,,,,,1,_,_,_,_,_,_,_,_
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,,,,,,,,,0,0,0,_,_,_,_,_,_
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),,,,,,,,,,0,0,0,_,_,_,_,_,_
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),,,,,,,,,,0,0,0,_,_,_,_,_,_
BOROUGH OF MOUNT CARMEL (LATS),,,,,,,,,,4,4,4,4,4,4,4,4,4
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),,,,,,,,,,0,0,0,_,_,_,_,_,_
SCHUYLKILL TRANSPORTATION SYSTEM (STS),,,,,,,,,,3,_,_,_,_,_,_,_,_
VCTO (Venango County Transportation Office),,,,,,,,,,0,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),,,,,,,,,,0,_,_,_,_,_,_,_,_
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,_,_,_
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,15,15,15
