,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),"['8,870', 136]",,,,,,,,,,,,,,,,,
PAAC (Port Authority of Allegheny County),"['3,428', 107]","['3,269', 141]","['3,249', 141]","['3,327', 0]","['2,876', 0]","['2,833', 0]","['2,783', 86]","['2,784', '77']","['2,920', '5', '7']","2,884","3,037",,,,,,,
AMTRAN (Altoona Metro Transit),"[41, 7]","[41, 7]","[41, 7]","[40, 8]","[40, 8]","[37, 8]","[37, 6]","['39', '7']","['52', '3', '5']",88,87,,,,,,,
BCTA (Beaver County Transit Authority*),"[93, 12]","[91, 5]","[91, 5]","[92, 5]","[87, 2]","[91, 2]","[93, 1]","['93', '1']","['96', '2']",93,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),"[136, 9]","[143, 7]",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority),"[109, 12]",,,,,,,,,,140,,,,,,,
CAT (Capital Area Transit),"[177, 28]","[187, 26]","[197, 25]","[197, 25]","[197, 25]","[187, 22]","[186, 14]","['182', '18']","['215', '40']",235,235,,,,,,,
Capitol Bus Company,"[3, 0]","[3, 0]","[3, 0]",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),"[121, 2]","[121, 2]","[121, 2]","[121, 2]","[140, 4]","[139, 4]","[147, 4]","['176', '3']","['188', '1', '8']",201,208,,,,,,,
COLTS (County of Lackawanna Transit System),"[105, 5]","[105, 5]","[73, 4]","[73, 4]","[73, 4]","[109, 9]","[110, 8]","['103', '15']","['104', '23']",128,128,,,,,,,
COLT (County of Lebanon Transit Authority),"[50, 8]","[47, 3]","[47, 3]",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),"[192, 34]","[204, 36]","[193, 30]","[197, 32]","[200, 41]","[191, 41]","[195, 49]","['191', '44']","['196', '34']",232,232,,,,,,,
FACT (Fayette Area Coordinated Transportation),"[32, 12]","[32, 12]","[32, 12]","[32, 12]","[32, 12]","[32, 12]","[32, 12]","['45', '16']","['47', '13']",56,56,,,,,,,
HPT (Hazleton Public Transit),"[35, 3]","[35, 3]","[35, 3]","[35, 3]","[22, 16]","[12, 15]","[15, 18]","['16', '15']","['25', '7']",29,25,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),"[172, 5]","[172, 5]","[172, 5]","[172, 5]","[172, 5]",,,,,369,369,,,,,,,
LCTA (Luzerne County Transportation Authority),"[81, 10]","[81, 10]","[81, 10]","[84, 7]","[84, 7]","[115, 44]","[114, 40]","['115', '37']","['117', '46']",172,163,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),"[7, 0]","[7, 0]","[7, 0]","[7, 0]","[7, 0]","[7, 0]","[46, 1]","['46', '1']","['45', '4']",47,47,,,,,,,
Pottstown Urban Transit,"[7, 7]",,,,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),"[180, 15]","[180, 15]","[180, 15]","[201, 15]","[201, 15]","[208, 45]","[189, 56]","['175', '34']","['229', '14']",,,,,,,,,
SVSS (Shenango Valley Shuttle Service),"[6, 2]","[6, 2]","[6, 2]","[6, 2]","[4, 3]",,,,,,,,,,,,,
"Washington, City of","[13, 46]","[4, 13]","[4, 13]","[4, 13]","[4, 13]","[4, 10]","[6, 8]","['12', '1']","['15', '2']",,,,,,,,,
WCTA (Westmoreland County Transit Authority),"[192, 46]",,,,,,,,,,129,,,,,,,
