,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,"$27,453,060","$27,668,699","$27,668,699","$26,643,597","$27,463,950","$27,668,699","$29,052,134",,,,,,,,,,
AMTRAN (Altoona Metro Transit),,"$96,692","$101,527","$106,603","$111,933","$117,530","$123,407","$129,577",,,,,,,,,,
BCTA (Beaver County Transit Authority*),,"$326,140","$342,446","$359,569","$377,548","$396,425","$416,247",,,,,,,,,,,
BARTA (Berks Area Reading Transportation Authority),,"$343,662",,,,,,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,"$495,706","$520,491","$546,515","$573,841","$602,533","$632,659",,,,,,,,,,,
CAT (Capital Area Transit),,"$572,056","$600,659","$630,692","$662,227","$695,338","$730,105",,,,,,,,,,,
Capitol Bus Company,,"$17,721","$18,718",,,,,,,,,,,,,,,
CATA (Centre Area Transportation Authority),,"$354,842","$372,584","$391,213","$410,774","$431,313","$452,879",,,,,,,,,,,
COLTS (County of Lackawanna Transit System),,"$422,684","$443,818","$466,009","$489,309","$513,774","$539,463",,,,,,,,,,,
COLT (County of Lebanon Transit Authority),,"$65,709","$68,994",,,,,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,"$611,933","$642,529","$674,655","$708,388","$743,807","$780,997",,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),,"$72,828","$87,393","$87,393","$84,155","$86,738","$97,277",,,,,,,,,,,
HPT (Hazleton Public Transit),,"$95,478","$100,251","$105,264","$110,527","$116,053","$121,856",,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,"$587,790","$617,180","$648,039","$680,441",,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),,"$362,171","$380,280","$399,294","$419,259","$440,222","$462,233",,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,"$45,119","$47,374","$49,743","$52,230","$54,842","$57,584",,,,,,,,,,,
"Pottstown, Borough of",,"$52,498","$55,123",,,,,,,,,,,,,,,
RRTA (Red Rose Transit Authority),,"$184,305","$193,521","$203,197","$213,357","$224,025","$235,226",,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),,"$37,930","$39,827","$41,818","$43,909",,,,,,,,,,,,,
"Washington, City of",,"$109,979","$115,478","$121,252","$127,315","$133,681","$140,365",,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,"$213,051","$223,703","$234,888","$246,632","$258,964","$271,912",,,,,,,,,,,
Williamsport RVT (River Valley Transit),,"$226,024","$237,325","$249,191","$261,651","$274,734","$288,471",,,,,,,,,,,
YCTA (York County Transportation Authority*),,"$269,998","$283,498","$297,673","$312,556",,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),,"$185,942","$195,240","$205,002","$215,252","$226,015","$237,316",,,,,,,,,,,
BTA (Butler Transit Authority),,"$30,646","$32,179","$33,788","$35,477","$37,251","$39,114",,,,,,,,,,,
Carbon County Community Transit,,"$24,070","$25,274","$26,538","$27,865","$29,258","$30,721",,,,,,,,,,,
CATA (Crawford Area Transportation Authority),,"$24,476","$25,699","$26,984","$16,082","$29,750","$31,238",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transportation Authority)",,"$29,895","$31,389","$32,958",,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),,"$40,557","$42,585","$44,714","$46,950","$49,298","$51,763",,,,,,,,,,,
Indigo (Indiana County Transit Authority),,"$38,680","$40,614",,,,,,,,,,,,,,,
Mid-County Transit,,"$27,290","$28,654","$30,087","$31,591",,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),,"$100,171","$105,180","$110,439","$115,961","$121,759","$127,847",,,,,,,,,,,
"Mount Carmel, Borough of",,"$7,855","$8,248","$8,660","$9,093","$9,548","$10,025",,,,,,,,,,,
NCATA (New Castle Area Transit Authority),,"$135,976","$142,775","$149,914","$157,410","$165,281","$173,545",,,,,,,,,,,
STS (Schuylkill Transportation System),,"$39,709","$41,694","$43,779","$45,968","$48,266","$50,679",,,,,,,,,,,
VCTO (Venango County Transportation Office),,"$17,160","$18,018","$18,919","$19,865",,"$21,901",,,,,,,,,,,
Warren County Transit Authority,,"$27,188","$28,547",,,,,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,"$360,845","$378,887","$397,831","$417,723","$438,609",,,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,"$72,444","$76,066","$79,869","$83,862",,,,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,"$57,879","$60,773","$63,812","$67,003",,,,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,"$42,645","$44,777","$47,016","$49,367",,,,,,,,,,,
"Warren County, Transit Authority of",,,,"$29,974","$31,473",,"$34,699",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,"$34,606",,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,"$714,463","$750,186",,,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,"$46,104","$48,409",,,,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,"$328,184","$344,593",,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,"$36,336","$38,153",,,,,,,,,,,
Mid County Transit Authority,,,,,,"$33,171","$34,830",,,,,,,,,,,
