,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALTOONA METRO TRANSIT (AMTRAN),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,"5,083","5,083","5,091","5,091","5,091","5,092","5,092","5,092","5,092","5,092","5,092","5,092","5,092","5,693","5,693","5,693","5,693","5,693"
BARTA (Berks Area Regional Transportation Authority),864,864,864,864,864,864,864,864,864,,,,,,,,,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,434,434,434
BUTLER TRANSIT AUTHORITY (BTA),15,15,15,15,15,25,25,25,25,25,25,25,25,25,25,25,25,25
Capital Area Transit (CAT),137,137,137,137,137,137,"1,070","1,070","1,070","1,070","1,070","1,070","1,070","1,070","1,070",,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),133,133,133,133,133,135,135,89,89,89,89,89,89,89,89,92,92,92
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),10.5,10.5,10.5,10.5,10.5,12,12,12,12,12,112,112,112,112,112,112,112,112
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,369,369,369
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),140,140,140,140,140,140,140,459,459,459,459,459,459,459,459,459,459,459
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),688,688,688,688,688,60,60,60,693,694,694,688,688,688,688,688,688,688
Capitol Bus Company,45,45,45,,,,,,,,,,,,,,,
Carbon County Community Transit (CCCT),381,381,381,381,381,64,64,64,64,75,75,75,75,75,75,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",57.08,57.08,57.08,57.08,57,56,56,56,56,56,56,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),"2,734","2,734","2,734","2,734","2,734",726,726,726,726,726,726,726,726,726,726,574,574,574
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),77,77,77,77,77,77,77,77,77,802,802,802,802,802,802,799,799,799
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),790,790,790,790,790,812,812,812,812,790,790,790,790,790,790,791,791,791
HAZLETON PUBLIC TRANSIT (HPT),12,12,12,12,12,144,144,144,144,144,144,144,144,144,144,144,144,144
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),830,830,830,830,830,504,504,504,504,504,504,504,504,504,504,504,504,504
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),"1,615","1,615","1,615",730,730,106,106,106,106,324,324,324,324,324,324,399,399,399
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,64,64,64
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),611,611,611,611,611,417,417,417,417,417,417,417,417,417,417,608,608,608
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),79,79,79,79,79,79,45,45,45,45,45,45,45,45,45,45,45,94.22
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),19.7,19.7,19.7,19.7,20,24,24,24,24,24,24,24,24,24,24,24,24,24
Monroe Township,33,,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),56,56,56,56,56,50,50,50,50,50,50,50,50,50,50,52,52,52
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),177,177,177,177,177,178,178,178,178,178,178,178,178,178,178,178,178,178
PITTSBURGH REGIONAL TRANSIT (PRT),775,775,775,775,775,775,775,775,775,775,775,775,775,775,775,,775,775
POTTSTOWN AREA RAPID TRANSIT (PART),34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,47,47,47
RRTA (Red Rose Transit Authority),952,952,952,952,952,952,952,952,952,,,,,,,,,
SEPTA (Southeastern Pennsylvania Transportation Authority),831,,,,,,,,,,,,,,,,,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),784,778,778,778,778,277,277,277,277,277,277,277,277,277,277,779,779,779
SVSS (Shenango Valley Shuttle Service),670,672,672,672,672,,,,,,,,,,,,,
VCTO (Venango County Transportation Office),100,100,100,100,100,100,100,100,100,100,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),664,664,664,664,664,668,668,668,668,668,668,668,668,668,668,517,517,517
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),"1,615",883,883,883,883,279,279,279,279,279,279,279,279,279,279,899,899,899
"Washington, City of",33,33,33,33,33,33,33,33,33,,,,,,,,,
Williamsport River Valley Transit (RVT),89,89,89,89,89,89,89,89,89,89,89,92,92,92,92,,,
YCTA (York County Transportation Authority*),911,911,911,911,911,,,,,,,,,,,,,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,670,670,670,670,672,672,672,672,672,672,673,673,673
YATA (Central Pennsylvania Transportation Authority),,,,,,911,911,"1,433","1,433",,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,33,33,33,857,857,857,857,857,857,857
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,"1,433","1,433","1,433","1,433","1,433","1,433",,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,"1,850","1,850","1,850","1,850","1,850","1,850","1,800","1,800","1,800"
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,111,111,111
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,"2,541","2,541","2,541"
