,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,4,,,2,2,2,2,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,_,,,_,_,_,_,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,_,,,_,_,_,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,,,_,,,_,_,,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,2,,,2,2,2,,,,,,,,
CAT (Capital Area Transit),,,,,_,,,_,_,_,_,,,,,,,
CATA (Centre Area Transportation Authority),,,,,_,,,_,_,_,_,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,_,,,_,_,_,_,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,_,,,_,_,_,_,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,_,,,_,_,_,_,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,_,,,_,_,_,_,,,,,,,
HPT (Hazleton Public Transit),,,,,_,,,_,_,_,_,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,_,,,,,_,_,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,_,,,_,_,_,_,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,_,,,_,_,_,_,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,_,,,,,,_,,,,,,,
RRTA (Red Rose Transit Authority),,,,,_,,,_,_,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),,,,,_,,,,,,,,,,,,,
"Washington, City of",,,,,_,,,_,_,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,_,,,_,,_,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,_,,,_,_,_,_,,,,,,,
YCTA (York County Transportation Authority*),,,,,_,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,_,,,_,_,_,_,,,,,,,
BTA (Butler Transit Authority),,,,,_,,,_,_,_,_,,,,,,,
Carbon County Community Transit,,,,,_,,,_,,,,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,_,,,_,_,_,_,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,_,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,_,,,_,_,_,_,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,_,,,_,_,_,_,,,,,,,
Mid-County Transit,,,,,_,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,_,,,_,_,_,_,,,,,,,
"Mount Carmel, Borough of",,,,,_,,,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),,,,,_,,,,,,,,,,,,,
STS (Schuylkill Transportation System),,,,,_,,,_,_,_,_,,,,,,,
VCTO (Venango County Transportation Office),,,,,_,,,_,_,_,,,,,,,,
"Warren County, Transit Authority of",,,,,_,,,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,,,_,_,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,_,_,_,_,,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,_,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,_,_,_,_,,,,,,,
Mid County Transit Authority,,,,,,,,_,_,_,_,,,,,,,
"Mount Carmel, Borough of (BMC)",,,,,,,,_,,,,,,,,,,
"Warren County, Transit Authority of (TAWC)",,,,,,,,_,,,,,,,,,,
Washington County Transportation Authority,,,,,,,,,_,,,,,,,,,
WCTA (Westmoreland County Transportation Authority),,,,,,,,,_,,,,,,,,,
YATA (Central Pennsylvania Transportation Authority),,,,,,,,,_,,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,_,_,_,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,_,_,_,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,_,_,_,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,_,_,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,_,_,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,_,_,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,_,,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,2,,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,_,,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,2,2,2,,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,_,_,_,,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,_,_,_,,,,
Butler Transit Authority (BTA),,,,,,,,,,,,_,_,_,,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,2,2,2,,,,
Capital Area Transit (CAT),,,,,,,,,,,,_,_,_,,,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,_,_,_,,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,_,_,_,,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,_,_,_,,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,_,_,_,,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,_,_,_,,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,_,_,_,,,,
Schuylkill Transportation System (STS),,,,,,,,,,,,_,_,_,,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,_,_,_,,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,_,_,_,,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,_,_,_,,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,,_,_,,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,,_,_,,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,,_,_,,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,,_,_,,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,,_,_,,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,,_,_,,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,,_,_,,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,,_,_,,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,,_,_,,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,,_,_,,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,,_,_,,,,
