,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Altoona Metro Transit (AMTRAN),74,74,74,52,48,28,28,28,26,26,26,26,26,26,27,27,27,27
Area Transportation Authority of North Central PA (ATA),87,87,87,87,90,90,99,99,95,99,104,107,107,99,99,99,99,102
Berks Area Regional Transportation Authority (BARTA),91,91,91,93,117,117,119,121,121,,,,,,,,,
Beaver County Transit Authority (BCTA),54,54,48,48,44,45,45,45,47,47,46,47,46,46,45,43,43,43
Butler Transit Authority (BTA),6,6,6,6,6,6,6,6,6,6,7,12,12,12,12,12,12,12
Capital Area Transit (CAT),144,142,134,134,134,138,131,131,130,131,121,121,131,131,131,,,
Centre Area Transportation Authority (CATA),60,60,60,69,69,69,71,76,76,77,125,125,125,138,130,130,130,130
Crawford Area Transportation Authority (CATA),19,19,19,22,22,22,33,33,38,42,61,65,66,66,66,66,66,74
County of Lebanon Transit Authority (COLT/LT),30,27,27,27,32,32,32,32,32,32,32,32,32,32,32,32,32,32
County of Lackawanna Transit System (COLTS),45,45,33,33,33,60,65,67,64,62,58,63,63,63,63,63,68,68
Cambria County Transit Authority (CAMTRAN),59,59,59,56,58,76,76,68,55,67,59,69,79,82,77,74,74,74
Capitol Bus Company,1,1,1,,,,,,,,,,,,,,,
Carbon County Community Transit (CCCT),18,18,18,13,23,23,25,25,26,25,24,14,14,14,14,,,
"DuBois, Falls Creek, Sandy Township Joint Transp. Authority (DuFAST)",5,5,5,5,6,6,6,6,6,6,6,,,,,,,
Endless Mountains Regional Transportation Authority (BeST Transit),59,59,65,65,65,64,63,59,59,46,60,66,66,66,66,66,66,68
Erie Metropolitan Transit Authority (EMTA),133,141,147,136,141,135,134,134,137,134,130,133,130,131,125,133,113,115
Fayette Area Coordinated Transportation (FACT),52,52,52,52,52,34,34,34,40,43,41,41,41,41,41,41,41,41
Hazleton Public Transit (HPT),16,16,16,15,15,19,16,16,18,16,15,15,15,15,15,15,15,15
Indiana County Transit Authority (INDIGO),29,34,34,39,39,39,37,37,30,30,28,28,28,28,28,28,28,28
Lehigh and Northampton Transportation Authority (LANTA),198,198,183,183,183,191,191,191,188,191,192,168,168,174,174,188,188,190
Luzerne County Transportation Authority (LCTA),62,62,62,62,62,90,95,89,87,87,89,91,91,91,91,91,91,91
Monroe County Transportation Authority (MCTA),50,50,50,50,50,50,44,54,54,52,50,54,54,54,54,54,54,47
Mid Mon Valley Transit Authority (MMVTA),27,27,27,27,27,27,31,31,29,29,28,30,29,30,30,30,30,32
Mid County Transit Authority/Town and Country Transit (TACT),6,6,6,6,6,19,21,21,29,28,21,20,20,20,22,22,22,22
Monroe Township,3,,,,,,,,,,,,,,,,,
Borough of Mount Carmel (LATS),3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4
New Castle Area Transit Authority (NCATA),30,30,30,30,30,30,35,35,34,34,34,34,34,34,34,34,32,32
Pittsburgh Regional Transit (PRT),"1,358","1,356","1,391","1,333","1,231","1,170","1,170","1,183","1,203","1,186","1,176","1,189","1,141","1,111","1,118",,"1,075","1,001"
Pottstown Area Rapid Transit (PART),10,10,10,10,10,11,11,11,11,11,12,12,10,10,10,10,10,10
Red Rose Transit Authority (RRTA),128,128,131,131,131,113,102,102,115,,,,,,,,,
Southeastern Pennsylvania Transportation Authority (SEPTA),"2,670",,,,,,,,,,,,,,,,,
Schuylkill Transportation System (STS),43,43,43,43,43,43,43,43,39,16,40,42,42,15,15,47,47,47
Shenango Valley Shuttle Service (SVSS),7,7,7,7,5,,,,,,,,,,,,,
Venango County Transportation Office (VCTO),4,3,3,3,3,3,3,3,26,23,,,,,,,,
Westmoreland County Transit Authority (WCTA),123,125,125,125,125,181,188,172,102,81,81,89,89,89,89,100,99,99
Transit Authority of Warren County (TAWC),198,19,19,18,18,18,22,19,22,15,16,16,16,17,17,17,17,17
"Washington, City of",34,9,9,9,9,10,11,12,11,,,,,,,,,
Williamsport River Valley Transit (RVT),35,35,35,35,35,31,31,31,35,30,33,41,41,41,41,,,
Susquehanna Regional Transportation Authority (SRTA/rabbittransit),91,91,91,91,85,101,110,110,188,280,327,300,307,307,307,438,438,438
Mercer County Regional Council of Governments (MCRCOG-SVSS/MCCT),,,,,,35,7,7,36,8,34,34,33,33,33,33,33,33
Washington County Transportation Authority (Freedom Transit),,,,,,,,,76,82,88,88,90,90,90,71,71,71
South Central Transit Authority (SCTA),,,,,,,,,,220,237,225,225,220,219,219,214,214
River Valley Transit Authority (RVTA),,,,,,,,,,,,,,,,41,41,37
