,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,4,4,2,2,,,,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,_,_,_,_,,,,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,_,_,_,,,,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,,,_,_,_,,,,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,2,2,2,,,,,,,,,,,
CAT (Capital Area Transit),,,,,_,_,_,,,,,,,,,,,
CATA (Centre Area Transportation Authority),,,,,_,_,_,,,,,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,_,_,_,,,,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,_,_,_,,,,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,_,_,_,,,,,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,_,_,_,,,,,,,,,,,
HPT (Hazleton Public Transit),,,,,_,_,_,,,,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,_,,,,,,,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,_,_,_,,,,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,_,_,_,,,,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,_,_,_,,,,,,,,,,,
RRTA (Red Rose Transit Authority),,,,,_,_,_,,,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),,,,,_,,,,,,,,,,,,,
"Washington, City of",,,,,_,_,_,,,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,_,_,_,,,,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,_,_,_,,,,,,,,,,,
YCTA (York County Transportation Authority*),,,,,_,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,_,_,_,,,,,,,,,,,
BTA (Butler Transit Authority),,,,,_,_,_,,,,,,,,,,,
Carbon County Community Transit,,,,,_,_,_,,,,,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,_,_,_,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,_,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,_,_,_,,,,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,_,_,_,,,,,,,,,,,
Mid-County Transit,,,,,_,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,_,_,_,,,,,,,,,,,
"Mount Carmel, Borough of",,,,,_,_,_,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),,,,,_,_,_,,,,,,,,,,,
STS (Schuylkill Transportation System),,,,,_,_,_,,,,,,,,,,,
VCTO (Venango County Transportation Office),,,,,_,,_,,,,,,,,,,,
"Warren County, Transit Authority of",,,,,_,,_,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,_,_,,,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,_,_,,,,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,_,_,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,_,_,,,,,,,,,,,
Mid County Transit Authority,,,,,,_,_,,,,,,,,,,,
