,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Altoona Metro Transit (AMTRAN),,,,,,,,,,_,_,_,_,_,_,_,_,_
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Beaver County Transit Authority (BCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Borough of Mount Carmel (LATS),,,,,,,,,,_,_,_,_,_,_,_,_,_
Butler Transit Authority (BTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Capital Area Transit (CAT),,,,,,,,,,_,_,_,_,_,_,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Crawford Area Transportation Authority (CATA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Carbon County Community Transit (CCCT),,,,,,,,,,_,_,_,_,_,_,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,_,_,_,_,_,_,_,_,_
County of Lackawanna Transit System (COLTS),,,,,,,,,,_,_,_,_,_,_,_,_,_
Susquehanna Regional Transportation Authority (SRTA/rabbittransit),,,,,,,,,,_,_,_,_,_,_,_,_,_
Cambria County Transit Authority (CAMTRAN),,,,,,,,,,_,_,_,_,_,_,_,_,_
"DuBois, Falls Creek, Sandy Township Joint Transp. Authority (DuFAST)",,,,,,,,,,_,_,,,,,,,
Endless Mountains Regional Transportation Authority (BeST Transit),,,,,,,,,,_,_,_,_,_,_,_,_,_
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,_,_,_,_,_,_,_,_,_
Hazleton Public Transit (HPT),,,,,,,,,,_,_,_,_,_,_,_,_,_
Indiana County Transit Authority (INDIGO),,,,,,,,,,_,_,_,_,_,_,_,_,_
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Luzerne County Transportation Authority (LCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Mercer County Regional Council of Governments (MCRCOG-SVSS/MCCT),,,,,,,,,,_,_,_,_,_,_,_,_,_
Monroe County Transportation Authority (MCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Mid County Transit Authority/Town and Country Transit (TACT),,,,,,,,,,_,_,_,_,_,_,_,_,_
New Castle Area Transit Authority (NCATA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Pittsburgh Regional Transit (PRT),,,,,,,,,,_,_,_,_,_,_,,_,_
Pottstown Area Rapid Transit (PART),,,,,,,,,,_,_,_,_,_,_,_,_,_
South Central Transit Authority (SCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Schuylkill Transportation System (STS),,,,,,,,,,_,_,_,_,_,_,_,_,_
Transit Authority of Warren County (TAWC),,,,,,,,,,_,_,_,_,_,_,_,_,_
Venango County Transportation Office (VCTO),,,,,,,,,,_,,,,,,,,
Washington County Transportation Authority (Freedom Transit),,,,,,,,,,_,_,_,_,_,_,_,_,_
Westmoreland County Transit Authority (WCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Williamsport River Valley Transit (RVT),,,,,,,,,,_,_,_,_,_,_,,,
River Valley Transit Authority (RVTA),,,,,,,,,,,,,,,,_,_,_
