,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,398,382,390,368,377,_,_,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,22,2,2,2,_,2,_,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,23,23,21,21,_,24,,,,,,,,
BARTA (Berks Area Regional Transportation Authority),,,,,60,60,62,64,_,,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,21,35,35,35,4,13,,,,,,,,
CAT (Capital Area Transit),,,,,56,55,52,52,_,52,,,,,,,,
CATA (Centre Area Transportation Authority),,,,,8,5,5,5,_,6,,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,0,24,29,32,_,30,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,14,14,14,14,_,14,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,66,62,61,61,_,63,,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,42,22,22,22,_,31,,,,,,,,
HPT (Hazleton Public Transit),,,,,3,4,4,4,_,4,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,105,,,,,108,,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,24,52,57,51,_,49,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,2,2,0,0,_,_,,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,2,2,2,,,,,,,,,,,
RRTA (Red Rose Transit Authority),,,,,88,71,60,60,_,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),,,,,2,,,,,,,,,,,,,
"Washington, City of",,,,,4,3,3,3,_,,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,92,140,145,129,,40,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,2,2,2,2,_,_,,,,,,,,
YCTA (York County Transportation Authority*),,,,,41,,,,,,,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,48,48,48,48,_,_,,,,,,,,
BTA (Butler Transit Authority),,,,,0,0,0,0,_,_,,,,,,,,
Carbon County Community Transit,,,,,22,22,25,25,,,,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,15,15,25,25,_,35,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transit Authority)",,,,,0,,,,,,,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,46,48,44,43,_,45,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,18,18,14,14,_,14,,,,,,,,
Mid-County Transit,,,,,0,,,,,,,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,35,35,33,39,_,37,,,,,,,,
"Mount Carmel, Borough of",,,,,0,0,0,,,,,,,,,,,
NCATA (New Castle Area Transit Authority),,,,,0,0,0,,,,,,,,,,,
STS (Schuylkill Transportation System),,,,,29,29,29,29,_,4,,,,,,,,
VCTO (Venango County Transportation Office),,,,,0,,0,0,_,23,,,,,,,,
"Warren County, Transit Authority of",,,,,13,,17,,,,,,,,,,,
LANta (Lehigh and Northampton Transportation Authority),,,,,,108,108,108,_,,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,30,2,2,_,2,,,,,,,,
YATA (York Adams County Transportation Authority*),,,,,,53,52,,,,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,0,0,0,_,4,,,,,,,,
Mid County Transit Authority,,,,,,13,15,15,_,22,,,,,,,,
YATA (York Adams Transportation Authority*),,,,,,,,52,,,,,,,,,,
