,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALTOONA METRO TRANSIT (AMTRAN),,,,,,,,,,24,24,8,8,8,3,3,3,3
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,,,,,,,,,,51,42,42,42,40,40,40,40,44
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,,,,,,23,20,13,6,6,8,6,6,6
BOROUGH OF MOUNT CARMEL (LATS),,,,,,,,,,3,3,3,3,3,3,3,3,4
BUTLER TRANSIT AUTHORITY (BTA),,,,,,,,,,6,7,4,1,1,1,1,1,_
Capital Area Transit (CAT),,,,,,,,,,79,69,69,81,81,81,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,_,_,_,_,_,_,_,_,_
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,7,14,14,14,12,12,12,12,16
Carbon County Community Transit (CCCT),,,,,,,,,,1,0,_,_,_,_,,,
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,,,,,,,,,18,18,18,18,18,18,18,18,18
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,,,,,,,,,19,46,32,32,32,32,32,33,33
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,52,52,43,13,13,13,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,,,,,,47,46,33,21,23,18,12,12,8
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,2,2,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),,,,,,,,,,_,16,13,13,13,13,13,13,13
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,,,,,,,,,57,4,60,58,57,49,37,34,29
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,,,,,,,,,12,11,11,11,11,11,11,11,11
HAZLETON PUBLIC TRANSIT (HPT),,,,,,,,,,12,11,11,6,6,5,5,5,3
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,,,,,,,,,4,4,_,_,_,_,_,_,_
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,,,,,,,,,83,68,49,49,37,37,37,37,22
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,,,,,,,,,23,38,23,23,18,6,6,6,6
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,,,,,6,8,8,7,7,6,6,6,6
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),,,,,,,,,,15,15,14,14,14,14,7,7,7
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,,,,,,,,,21,20,15,14,12,12,12,12,_
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),,,,,,,,,,6,6,9,9,9,9,9,9,9
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),,,,,,,,,,24,34,34,28,13,11,7,_,_
PITTSBURGH REGIONAL TRANSIT (PRT),,,,,,,,,,695,710,736,693,701,714,,713,678
POTTSTOWN AREA RAPID TRANSIT (PART),,,,,,,,,,9,8,8,8,8,8,8,8,8
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,64,92,95,95,95,93,93,92,92
SCHUYLKILL TRANSPORTATION SYSTEM (STS),,,,,,,,,,12,12,12,12,3,3,3,3,3
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),,,,,,,,,,5,5,5,5,5,5,5,5,5
VCTO (Venango County Transportation Office),,,,,,,,,,_,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,,12,10,10,12,13,13,13,13,13
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),,,,,,,,,,41,41,30,30,30,30,20,19,19
Williamsport River Valley Transit (RVT),,,,,,,,,,26,25,20,20,20,20,,,
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,20,29,5
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,94,94,94
