,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Altoona Metro Transit (AMTRAN),,,,,,,,,,_,_,16,16,16,23,23,23,23
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Beaver County Transit Authority (BCTA),,,,,,,,,,_,3,11,17,17,17,17,17,17
Borough of Mount Carmel (LATS),,,,,,,,,,_,_,_,_,_,_,_,_,_
Butler Transit Authority (BTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Capital Area Transit (CAT),,,,,,,,,,_,_,_,_,_,_,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,71,71,66,66,78,80,80,80,80
Crawford Area Transportation Authority (CATA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Carbon County Community Transit (CCCT),,,,,,,,,,_,_,_,_,_,_,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,_,_,_,_,_,_,_,_,_
County of Lackawanna Transit System (COLTS),,,,,,,,,,_,_,_,_,_,_,_,_,_
Susquehanna Regional Transportation Authority (SRTA/rabbittransit),,,,,,,,,,1,11,11,35,35,35,35,35,35
Cambria County Transit Authority (CAMTRAN),,,,,,,,,,2,3,7,24,26,30,34,34,38
"DuBois, Falls Creek, Sandy Township Joint Transp. Authority (DuFAST)",,,,,,,,,,_,_,,,,,,,
Endless Mountains Regional Transportation Authority (BeST Transit),,,,,,,,,,_,_,_,_,_,_,_,_,_
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,14,5,18,19,22,31,47,36,42
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,_,_,_,_,_,_,_,_,_
Hazleton Public Transit (HPT),,,,,,,,,,_,_,_,5,5,7,7,7,9
Indiana County Transit Authority (INDIGO),,,,,,,,,,12,12,16,16,16,16,16,16,16
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,_,16,34,34,47,47,47,47,64
Luzerne County Transportation Authority (LCTA),,,,,,,,,,_,_,2,2,7,19,19,19,19
Mercer County Regional Council of Governments (MCRCOG-SVSS/MCCT),,,,,,,,,,_,_,_,_,_,1,1,1,1
Monroe County Transportation Authority (MCTA),,,,,,,,,,_,_,_,_,_,_,7,7,7
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,8,8,15,15,18,18,18,18,32
Mid County Transit Authority/Town and Country Transit (TACT),,,,,,,,,,_,_,_,_,_,_,_,_,_
New Castle Area Transit Authority (NCATA),,,,,,,,,,_,_,_,6,11,13,17,22,22
Pittsburgh Regional Transit (PRT),,,,,,,,,,_,_,32,32,_,_,,_,_
Pottstown Area Rapid Transit (PART),,,,,,,,,,_,_,_,_,_,_,_,_,_
South Central Transit Authority (SCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Schuylkill Transportation System (STS),,,,,,,,,,_,_,_,_,10,10,10,10,10
Transit Authority of Warren County (TAWC),,,,,,,,,,_,_,_,_,_,_,_,_,_
Venango County Transportation Office (VCTO),,,,,,,,,,_,,,,,,,,
Washington County Transportation Authority (Freedom Transit),,,,,,,,,,_,_,_,_,_,_,_,_,_
Westmoreland County Transit Authority (WCTA),,,,,,,,,,_,_,11,11,11,11,22,22,22
Williamsport River Valley Transit (RVT),,,,,,,,,,4,6,18,18,18,18,,,
River Valley Transit Authority (RVTA),,,,,,,,,,,,,,,,18,9,29
