,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,,,,,,_,_,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,,,,,,_,_,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,,,,,,_,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,,,,,,2,,,,,,,,
CAT (Capital Area Transit),,,,,,,,,,_,_,,,,,,,
CATA (Centre Area Transportation Authority),,,,,,,,,,71,71,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,,,,,,_,_,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,,,,,,_,_,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,1,11,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,,,,,,14,5,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,,,,,,_,_,,,,,,,
HPT (Hazleton Public Transit),,,,,,,,,,_,_,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,,,,,,_,16,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,,,,,,_,_,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,,,_,_,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,,,,,,8,8,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,_,_,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,_,_,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,,,,,,_,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,,,,,,4,6,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,,,,,,_,_,,,,,,,
BTA (Butler Transit Authority),,,,,,,,,,_,_,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,,_,_,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,,,,,,_,_,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,_,_,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,_,_,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,12,12,,,,,,,
Mid County Transit Authority,,,,,,,,,,_,_,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,_,_,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,_,_,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,_,_,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,_,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,_,_,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,3,,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,3,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,,,,,,,_,,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,_,,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,32,32,_,,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,_,_,_,,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,11,17,17,,,,
Butler Transit Authority (BTA),,,,,,,,,,,,_,_,_,,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,7,24,26,,,,
Capital Area Transit (CAT),,,,,,,,,,,,_,_,_,,,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,_,_,_,,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,11,35,35,,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,66,66,78,,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,_,_,_,,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,_,6,11,,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,_,_,_,,,,
Schuylkill Transportation System (STS),,,,,,,,,,,,_,_,10,,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,_,_,_,,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,_,_,_,,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,_,_,_,,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,,16,16,,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,,_,_,,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,,_,_,,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,,_,_,,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,,_,_,,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,,_,_,,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,,19,22,,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,,_,_,,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,,5,5,,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,,16,16,,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,,34,47,,,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,,2,7,,,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,,_,_,,,,
Mid County Transit Authority (TACT),,,,,,,,,,,,,_,_,,,,
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,,15,18,,,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,,11,11,,,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,,18,18,,,,
