,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PITTSBURGH REGIONAL TRANSIT (PRT),,,,,,,,,,_,349,336,333,298,298,,262,
ALTOONA METRO TRANSIT (AMTRAN),,,,,,,,,,2,2,2,2,2,1,1,1,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,,,,,,24,23,23,23,23,20,20,20,25
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,,,,,,13,7,23,24,23,19,18,18,18
Capital Area Transit (CAT),,,,,,,,,,52,52,52,50,50,50,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,6,54,54,54,55,50,50,50,50
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,,,,,,,,,30,12,31,31,31,31,31,35,35
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,,,,,,,,,14,14,14,14,14,14,14,14,14
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,224,261,243,256,256,256,,,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,,,,,,,,,63,108,55,53,52,45,49,43,44
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,,,,,,,,,31,30,30,30,30,30,30,30,30
HAZLETON PUBLIC TRANSIT (HPT),,,,,,,,,,4,4,4,4,4,3,3,3,3
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,,,,,,,,,108,108,85,85,90,90,104,104,104
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,,,,,,,,,49,51,51,51,51,51,51,51,51
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,,,,,2,26,26,26,26,26,26,26,26
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
POTTSTOWN AREA RAPID TRANSIT (PART),,,,,,,,,,2,4,4,2,2,2,2,2,2
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,113,131,130,130,125,126,126,122,122
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,,70,78,78,78,78,78,58,58,58
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),,,,,,,,,,40,40,48,48,48,48,58,58,58
Williamsport River Valley Transit (RVT),,,,,,,,,,_,2,3,3,3,3,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,,,,,,,,,,_,61,65,65,58,58,58,58,57
BUTLER TRANSIT AUTHORITY (BTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
Carbon County Community Transit (CCCT),,,,,,,,,,24,24,14,14,14,14,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,35,47,48,48,48,48,48,48,52
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,4,4,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),,,,,,,,,,45,43,52,52,52,52,52,52,55
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,,,,,,,,,14,12,12,12,12,12,Vehicle 12,Vehicle 12,12
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),,,,,,,,,,22,15,11,11,11,13,13,13,13
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),,,,,,,,,,37,35,40,40,40,40,40,40,33
BOROUGH OF MOUNT CARMEL (LATS),,,,,,,,,,_,_,_,_,_,_,_,_,_
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),,,,,,,,,,_,_,_,_,_,_,_,_,_
SCHUYLKILL TRANSPORTATION SYSTEM (STS),,,,,,,,,,4,28,30,30,2,2,34,34,34
VCTO (Venango County Transportation Office),,,,,,,,,,23,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),,,,,,,,,,10,11,11,11,12,12,12,12,12
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,3,3,
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,306,306,306
