,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,,,,,,_,349,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,,,,,,2,2,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,,,,,,24,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,,,,,,13,,,,,,,,
CAT (Capital Area Transit),,,,,,,,,,52,,,,,,,,
CATA (Centre Area Transportation Authority),,,,,,,,,,6,,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,,,,,,30,,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,,,,,,14,,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,224,,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,,,,,,63,,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,,,,,,31,,,,,,,,
HPT (Hazleton Public Transit),,,,,,,,,,4,,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,,,,,,108,,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,,,,,,49,,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,,,2,,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,,,,,,_,,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,113,,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,70,,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,,,,,,40,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,,,,,,_,,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,,,,,,_,,,,,,,,
BTA (Butler Transit Authority),,,,,,,,,,_,,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,,24,,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,,,,,,35,,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,4,,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,45,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,14,,,,,,,,
Mid County Transit Authority,,,,,,,,,,22,,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,37,,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,_,,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,4,,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,23,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,10,,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,23,,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,336,333,298,298,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,2,2,2,1,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,65,65,58,58,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,23,23,23,20,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,_,_,_,_,,,
Butler Transit Authority (BTA),,,,,,,,,,,,_,_,_,_,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,23,24,23,19,,,
Capital Area Transit (CAT),,,,,,,,,,,,52,50,50,50,,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,14,14,14,14,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,243,256,256,256,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,54,54,55,50,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,31,31,31,31,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,14,14,14,14,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,48,48,48,48,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,52,52,52,52,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,55,53,52,45,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,30,30,30,30,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,4,4,4,3,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,12,12,12,12,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,85,85,90,90,,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,51,51,51,51,,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,26,26,26,26,,,
Mid County Transit Authority (TACT),,,,,,,,,,,,11,11,11,13,,,
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,_,_,_,_,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,40,40,40,40,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,_,_,_,_,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,4,2,2,2,,,
Schuylkill Transportation System (STS),,,,,,,,,,,,30,30,2,2,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,130,130,125,126,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,11,11,12,12,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,78,78,78,78,,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,48,48,48,48,,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,3,3,3,3,,,
ALTOONA METRO TRANSIT (AMTRAN),,,,,,,,,,,,,,,,1,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (ATA),,,,,,,,,,,,,,,,58,58,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,,,,,,,,,,,,20,20,
BOROUGH OF MOUNT CARMEL (LATS),,,,,,,,,,,,,,,,_,,
BUTLER TRANSIT AUTHORITY (BTA),,,,,,,,,,,,,,,,_,_,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,,,,,,,,,,,,18,18,
