,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEPTA (Southeastern Pennsylvania Transportation Authority),418,,,,,,,,,,,,,,,,,
PITTSBURGH REGIONAL TRANSIT (PRT),405,410,439,402,398,382,390,368,377,_,_,_,_,_,_,,_,_
ALTOONA METRO TRANSIT (AMTRAN),38,38,38,22,22,2,2,2,2,_,_,_,_,_,_,_,_,_
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),23,23,23,23,23,23,21,21,24,_,_,_,_,_,_,_,_,_
BARTA (Berks Area Regional Transportation Authority),37,37,37,40,60,60,62,64,64,,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),10,10,10,9,21,35,35,35,4,_,_,_,_,_,_,_,_,_
Capital Area Transit (CAT),66,64,56,56,56,55,52,52,52,_,_,_,_,_,_,,,
Capitol Bus Company,0,0,0,,,,,,,,,,,,,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),8,8,8,8,8,5,5,5,5,_,_,_,_,_,_,_,_,_
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),8,8,0,0,0,24,29,32,29,_,_,_,_,_,_,_,_,_
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),19,14,14,14,14,14,14,14,14,_,_,_,_,_,_,_,_,_
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),64,67,70,63,66,62,61,61,63,_,_,_,_,_,_,_,_,_
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),42,42,42,42,42,22,22,22,28,_,_,_,_,_,_,_,_,_
HAZLETON PUBLIC TRANSIT (HPT),3,3,3,3,3,4,4,4,4,_,_,_,_,_,_,_,_,_
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),120,120,105,105,105,108,108,108,105,_,_,_,_,_,_,_,_,_
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),24,24,24,24,24,52,57,51,49,_,_,_,_,_,_,_,_,_
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),2,2,2,2,2,2,0,0,1,_,_,_,_,_,_,_,_,_
POTTSTOWN AREA RAPID TRANSIT (PART),2,2,2,2,2,2,2,2,2,_,_,_,_,_,_,_,_,_
RRTA (Red Rose Transit Authority),83,83,88,88,88,71,60,60,73,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),1,1,1,1,2,,,,,,,,,,,,,
"Washington, City of",29,4,4,4,4,3,3,3,3,,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),92,92,92,92,92,140,145,129,61,_,_,_,_,_,_,_,_,_
Williamsport River Valley Transit (RVT),2,2,2,2,2,2,2,2,0,_,_,_,_,_,_,,,
YCTA (York County Transportation Authority*),55,55,55,55,41,,,,,,,,,,,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,0,0,0,0,48,48,48,48,55,_,_,_,_,_,_,_,_,_
BUTLER TRANSIT AUTHORITY (BTA),0,0,0,0,0,0,0,0,0,_,_,_,_,_,_,_,_,_
Carbon County Community Transit (CCCT),17,17,17,22,22,22,25,25,25,_,_,_,_,_,_,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),14,14,14,15,15,15,25,25,31,_,_,_,_,_,_,_,_,_
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",0,0,0,0,0,0,0,0,0,_,_,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),46,46,46,46,46,48,44,43,43,_,_,_,_,_,_,_,_,_
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),14,19,19,18,18,18,14,14,14,_,_,_,_,_,_,_,_,_
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),0,0,0,0,0,13,15,15,23,_,_,_,_,_,_,_,_,_
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),35,35,35,35,35,35,33,39,39,_,_,_,_,_,_,_,_,_
Monroe Township,0,,,,,,,,,,,,,,,,,
BOROUGH OF MOUNT CARMEL (LATS),0,0,0,0,0,0,0,0,0,_,_,_,_,_,_,_,_,_
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),0,0,0,0,0,0,0,0,0,_,_,_,_,_,_,_,_,_
SCHUYLKILL TRANSPORTATION SYSTEM (STS),29,29,29,29,29,29,29,29,27,_,_,_,_,_,_,_,_,_
VCTO (Venango County Transportation Office),0,0,0,0,0,0,0,0,21,_,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),120,14,14,13,13,13,17,14,17,_,_,_,_,_,_,_,_,_
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,30,2,2,31,_,_,_,_,_,_,_,_,_
YATA (Central Pennsylvania Transportation Authority),,,,,,53,52,52,129,,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,73,_,_,_,_,_,_,_,_,_
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,_,_,_,_,_,_,,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,_,_,_
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,_,_,_
