,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PAAC (Port Authority of Allegheny County),,,,,,,,,,48,66,,,,,,,
AMTRAN (Altoona Metro Transit),,,,,,,,,,27,27,,,,,,,
BCTA (Beaver County Transit Authority*),,,,,,,,,,_,,,,,,,,
CamTran (Cambria County Transit Authority*),,,,,,,,,,_,,,,,,,,
CAT (Capital Area Transit),,,,,,,,,,11,11,,,,,,,
CATA (Centre Area Transportation Authority),,,,,,,,,,9,9,,,,,,,
COLTS (County of Lackawanna Transit System),,,,,,,,,,_,_,,,,,,,
COLT/LT (County of Lebanon Transit Authority),,,,,,,,,,_,_,,,,,,,
CPTA (Central Pennsylvania Transportation Authority),,,,,,,,,,53,53,,,,,,,
EMTA (Erie Metropolitan Transit Authority),,,,,,,,,,_,_,,,,,,,
FACT (Fayette Area Coordinated Transportation),,,,,,,,,,2,2,,,,,,,
HPT (Hazleton Public Transit),,,,,,,,,,6,6,,,,,,,
LANTA (Lehigh and Northampton Transportation Authority),,,,,,,,,,32,32,,,,,,,
LCTA (Luzerne County Transportation Authority),,,,,,,,,,10,_,,,,,,,
MCRCOG (Mercer County Regional Council of Governments),,,,,,,,,,_,_,,,,,,,
MMVTA (Mid Mon Valley Transit Authority),,,,,,,,,,4,4,,,,,,,
SCTA (South Central Transit Authority),,,,,,,,,,16,16,,,,,,,
WCTA (Washington County Transportation Authority),,,,,,,,,,30,30,,,,,,,
WCTA (Westmoreland County Transit Authority*),,,,,,,,,,24,,,,,,,,
Williamsport RVT (River Valley Transit),,,,,,,,,,_,_,,,,,,,
ATA (Area Transportation Authority of North Central PA),,,,,,,,,,5,5,,,,,,,
BTA (Butler Transit Authority),,,,,,,,,,9,9,,,,,,,
CCCT (Carbon County Community Transit),,,,,,,,,,12,12,,,,,,,
CATA (Crawford Area Transportation Authority),,,,,,,,,,0,0,,,,,,,
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,0,0,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,1,_,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,0,0,,,,,,,
Mid County Transit Authority,,,,,,,,,,0,0,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,0,0,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,4,4,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,3,_,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,0,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,0,_,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,_,,,,,,,
CamTran (Cambria County Transit Authority),,,,,,,,,,,_,,,,,,,
PART (Pottstown Area Rapid Transit),,,,,,,,,,,10,,,,,,,
WCTA (Westmoreland County Transit Authority),,,,,,,,,,,24,,,,,,,
