,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PITTSBURGH REGIONAL TRANSIT (PRT),,,,,_,_,_,_,_,_,_,_,_,_,_,,_,_
ALTOONA METRO TRANSIT (AMTRAN),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
BARTA (Berks Area Regional Transportation Authority),,,,,_,_,_,_,_,,,,,,,,,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
Capital Area Transit (CAT),,,,,_,_,_,_,_,_,_,_,_,_,_,,,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
HAZLETON PUBLIC TRANSIT (HPT),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
POTTSTOWN AREA RAPID TRANSIT (PART),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
RRTA (Red Rose Transit Authority),,,,,_,_,_,_,_,,,,,,,,,
SVSS (Shenango Valley Shuttle Service),,,,,_,,,,,,,,,,,,,
"Washington, City of",,,,,_,_,_,_,_,,,,,,,,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
Williamsport River Valley Transit (RVT),,,,,_,_,_,_,_,_,_,_,_,_,_,,,
YCTA (York County Transportation Authority*),,,,,_,,,,,,,,,,,,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (,,,,,_,_,1,1,_,_,_,_,_,_,_,_,_,_
BUTLER TRANSIT AUTHORITY (BTA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
Carbon County Community Transit (CCCT),,,,,_,_,_,_,_,_,_,_,_,_,_,,,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,_,_,_,_,_,_,_,,,,,,,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MID COUNTY TRANSIT AUTHORITY D.B.A. TOWN AND COUNTR TRANSIT (TACT),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
BOROUGH OF MOUNT CARMEL (LATS),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
SCHUYLKILL TRANSPORTATION SYSTEM (STS),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
VCTO (Venango County Transportation Office),,,,,_,_,_,_,_,_,,,,,,,,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),,,,,_,_,_,_,_,_,_,_,_,_,_,_,_,_
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,_,_,_,_,_,_,_,_,_,_,_,_,_
YATA (Central Pennsylvania Transportation Authority),,,,,,_,_,_,_,,,,,,,,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (FREEDOM TRANSIT),,,,,,,,,_,_,_,_,_,_,_,_,_,_
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,_,_,_,_,_,_,,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,_,_,_,_,_,_,_,_,_
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,_,_,_
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. RABBITTRANSIT,,,,,,,,,,,,,,,,_,_,_
